step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,160,-1,-1,-1,-1,-1,24.40192,1,3718.305908
1,32,128,-1,-1,-1,-1,-1,17.130495,1,556.42627
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,2048,-1,-1,-1,-1,-1,-1,0,153.564163
4,5,8192,-1,-1,-1,-1,-1,-1,0,501.241852
5,9,8192,-1,-1,-1,-1,-1,-1,0,508.668915
6,13,8192,-1,-1,-1,-1,-1,-1,0,508.144653
7,17,8192,-1,-1,-1,-1,-1,-1,0,512.182251
8,21,8192,-1,-1,-1,-1,-1,-1,0,511.913971
9,25,8192,-1,-1,-1,-1,-1,-1,0,517.195801
10,29,8192,-1,-1,-1,-1,-1,-1,0,518.551575
11,32,6626,-1,-1,-1,-1,-1,-1,0,425.214966
12,32,128,-1,-1,-1,-1,-1,29.132799,1,29.200384
13,32,128,-1,-1,-1,-1,-1,28.591105,1,28.66176
14,32,128,-1,-1,-1,-1,-1,28.1856,1,28.254208
15,32,128,-1,-1,-1,-1,-1,28.138496,1,28.209152
16,32,128,-1,-1,-1,-1,-1,28.132353,1,28.20096
17,32,128,-1,-1,-1,-1,-1,28.149759,1,28.218369
18,32,128,-1,-1,-1,-1,-1,28.158976,1,28.217344
19,32,128,-1,-1,-1,-1,-1,28.062719,1,28.130304
20,32,128,-1,-1,-1,-1,-1,28.153856,1,28.214272
21,32,128,-1,-1,-1,-1,-1,28.111872,1,28.173311
22,32,128,-1,-1,-1,-1,-1,28.101631,1,28.17024
23,32,128,-1,-1,-1,-1,-1,28.094463,1,28.157951
24,32,128,-1,-1,-1,-1,-1,28.105728,1,28.174335
25,32,128,-1,-1,-1,-1,-1,28.108801,1,28.17024
26,32,128,-1,-1,-1,-1,-1,28.106752,1,28.167168
27,32,128,-1,-1,-1,-1,-1,28.106752,1,28.17536
28,32,128,-1,-1,-1,-1,-1,28.111872,1,28.180479
29,32,128,-1,-1,-1,-1,-1,28.124161,1,28.184576
30,32,128,-1,-1,-1,-1,-1,28.115969,1,28.184576
31,32,128,-1,-1,-1,-1,-1,28.111872,1,28.173311
32,32,128,-1,-1,-1,-1,-1,28.093439,1,28.16
33,32,128,-1,-1,-1,-1,-1,28.108801,1,28.176384
34,32,128,-1,-1,-1,-1,-1,28.123137,1,28.188671
35,32,128,-1,-1,-1,-1,-1,28.095488,1,28.165119
36,32,128,-1,-1,-1,-1,-1,28.11904,1,28.186625
37,32,128,-1,-1,-1,-1,-1,28.121088,1,28.182528
38,32,128,-1,-1,-1,-1,-1,27.998207,1,28.059649
39,32,128,-1,-1,-1,-1,-1,28.121088,1,28.191744
40,32,128,-1,-1,-1,-1,-1,28.179457,1,28.238848
41,32,128,-1,-1,-1,-1,-1,28.204033,1,28.27264
42,32,128,-1,-1,-1,-1,-1,28.173311,1,28.24192
43,32,128,-1,-1,-1,-1,-1,28.179457,1,28.240896
44,32,128,-1,-1,-1,-1,-1,28.172289,1,28.23168
45,32,128,-1,-1,-1,-1,-1,28.229631,1,28.291073
46,32,128,-1,-1,-1,-1,-1,28.372992,1,28.442623
47,32,128,-1,-1,-1,-1,-1,28.361729,1,28.42112
