step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,64,-1,-1,-1,-1,-1,23.914495,1,4216.074219
1,32,32,-1,-1,-1,-1,-1,12.849152,1,14.471168
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,2048,-1,-1,-1,-1,-1,-1,0,150.849533
4,6,8192,-1,-1,-1,-1,-1,-1,0,501.683197
5,10,8192,-1,-1,-1,-1,-1,-1,0,508.068878
6,14,8192,-1,-1,-1,-1,-1,-1,0,509.555725
7,18,8192,-1,-1,-1,-1,-1,-1,0,512.494568
8,22,8192,-1,-1,-1,-1,-1,-1,0,513.992676
9,26,8192,-1,-1,-1,-1,-1,-1,0,518.622192
10,30,8192,-1,-1,-1,-1,-1,-1,0,518.703125
11,32,5798,-1,-1,-1,-1,-1,-1,0,378.499084
12,32,32,-1,-1,-1,-1,-1,18.383871,1,18.429953
13,32,32,-1,-1,-1,-1,-1,18.172928,1,18.217983
14,32,32,-1,-1,-1,-1,-1,18.002945,1,18.044928
15,32,32,-1,-1,-1,-1,-1,17.911808,1,17.955839
16,32,32,-1,-1,-1,-1,-1,17.874945,1,17.92
17,32,32,-1,-1,-1,-1,-1,17.862656,1,17.906689
18,32,32,-1,-1,-1,-1,-1,17.876991,1,17.917952
19,32,32,-1,-1,-1,-1,-1,17.896448,1,17.941504
20,32,32,-1,-1,-1,-1,-1,17.846272,1,17.913857
21,32,32,-1,-1,-1,-1,-1,17.835009,1,17.902592
22,32,32,-1,-1,-1,-1,-1,17.84832,1,17.913857
23,32,32,-1,-1,-1,-1,-1,17.8176,1,17.883137
24,32,32,-1,-1,-1,-1,-1,17.840128,1,17.906689
25,32,32,-1,-1,-1,-1,-1,17.843201,1,17.899521
26,32,32,-1,-1,-1,-1,-1,17.841152,1,17.907713
27,32,32,-1,-1,-1,-1,-1,17.856512,1,17.921024
28,32,32,-1,-1,-1,-1,-1,17.829887,1,17.871872
29,32,32,-1,-1,-1,-1,-1,17.837055,1,17.881088
30,32,32,-1,-1,-1,-1,-1,17.836033,1,17.87904
31,32,32,-1,-1,-1,-1,-1,17.855488,1,17.899521
32,32,32,-1,-1,-1,-1,-1,17.849344,1,17.893375
33,32,32,-1,-1,-1,-1,-1,17.856512,1,17.900543
34,32,32,-1,-1,-1,-1,-1,17.837055,1,17.880064
35,32,32,-1,-1,-1,-1,-1,17.853439,1,17.896448
36,32,32,-1,-1,-1,-1,-1,17.831936,1,17.897472
37,32,32,-1,-1,-1,-1,-1,17.86368,1,17.918976
38,32,32,-1,-1,-1,-1,-1,17.850368,1,17.915903
39,32,32,-1,-1,-1,-1,-1,17.844225,1,17.905664
40,32,32,-1,-1,-1,-1,-1,17.858561,1,17.925119
41,32,32,-1,-1,-1,-1,-1,17.856512,1,17.923073
42,32,32,-1,-1,-1,-1,-1,17.869823,1,17.93536
43,32,32,-1,-1,-1,-1,-1,17.880064,1,17.944576
44,32,32,-1,-1,-1,-1,-1,17.853439,1,17.897472
45,32,32,-1,-1,-1,-1,-1,17.850368,1,17.896448
46,32,32,-1,-1,-1,-1,-1,17.86368,1,17.908735
47,32,32,-1,-1,-1,-1,-1,17.858561,1,17.903616
48,32,32,-1,-1,-1,-1,-1,17.876991,1,17.921024
49,32,32,-1,-1,-1,-1,-1,17.861631,1,17.90464
50,32,32,-1,-1,-1,-1,-1,17.867777,1,17.90976
51,32,32,-1,-1,-1,-1,-1,17.864704,1,17.907713
52,32,32,-1,-1,-1,-1,-1,17.858561,1,17.925119
53,32,32,-1,-1,-1,-1,-1,17.876991,1,17.942528
54,32,32,-1,-1,-1,-1,-1,17.87904,1,17.945601
