step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,32,160,32,160,160,3,4.554752,25.350143,1,668.945435,247.160828,916.106262
1,32,128,32,128,288,3,3.680256,19.543039,1,456.635406,5180.068848,5636.704254
2,1,2048,1,2048,2048,3,8.356864,-1,0,166.801407,9.193472,175.994879
3,5,8192,5,8192,10240,3,22.36928,-1,0,509.444092,23.223295,532.667387
4,9,8192,9,8192,18432,3,23.138304,-1,0,502.686707,24.041471,526.728178
5,13,8192,13,8192,26622,3,22.868992,-1,0,506.53183,23.802879,530.334709
6,17,8192,17,8192,34807,3,23.359488,-1,0,508.181519,24.33024,532.511759
7,21,8192,21,8192,42982,3,23.46496,-1,0,512.263184,24.470528,536.733711
8,25,8192,25,8192,51156,3,23.575552,-1,0,513.197083,24.616961,537.814043
9,29,8192,29,8192,59321,3,23.586817,-1,0,517.179382,24.625153,541.804535
10,32,6626,32,6626,65923,3,19.825665,-1,0,423.169037,20.883455,444.052492
11,32,128,32,128,66003,3,3.489792,30.927872,1,31.0016,4.574208,35.575808
12,32,128,32,128,66076,3,3.454976,30.32576,1,30.392321,4.544512,34.936832
13,32,128,32,128,66146,3,3.438592,29.971457,1,30.029823,4.51584,34.545663
14,32,128,32,128,66233,3,3.427328,29.953024,1,30.020609,4.517888,34.538497
15,32,128,32,128,66314,3,3.419136,29.883392,1,29.950975,4.509696,34.460671
16,32,128,32,128,66399,3,3.42016,29.737984,1,29.805569,4.506624,34.312193
17,32,128,32,128,66480,3,3.429376,29.799423,1,29.857792,4.514816,34.372608
18,32,128,32,128,66548,3,3.419136,29.735935,1,29.804544,4.501504,34.306048
19,32,128,32,128,66623,3,3.421184,29.768703,1,29.826048,4.504576,34.330624
20,32,128,32,128,66710,3,3.424256,29.7728,1,29.833216,4.513792,34.347008
21,32,128,32,128,66783,3,3.418112,29.779968,1,29.847551,4.501504,34.349055
22,32,128,32,128,66852,3,3.41504,29.798401,1,29.867008,4.503552,34.37056
23,32,128,32,128,66930,3,3.408896,29.767679,1,29.829121,4.49024,34.319361
24,32,128,32,128,67002,3,3.421184,29.786112,1,29.845505,4.502528,34.348033
25,32,128,32,128,67074,3,3.424256,29.801472,1,29.869057,4.51072,34.379776
26,32,128,32,128,67152,3,3.42528,29.79328,1,29.85984,4.507648,34.367488
27,32,128,32,128,67222,3,3.428352,29.797377,1,29.863935,4.517888,34.381824
28,32,128,32,128,67303,3,3.42528,29.750273,1,29.819904,4.508672,34.328577
29,32,128,32,128,67380,3,3.423232,29.776896,1,29.835264,4.513792,34.349056
30,32,128,32,128,67460,3,3.422208,29.805569,1,29.872128,4.501504,34.373631
31,32,128,32,128,67526,3,3.42528,29.789185,1,29.8496,4.52096,34.37056
32,32,128,32,128,67620,3,3.422208,29.783039,1,29.852673,4.519936,34.372609
33,32,128,32,128,67691,3,3.423232,29.779968,1,29.844481,4.50048,34.344961
34,32,128,32,128,67773,3,3.41504,29.804544,1,29.8752,4.492288,34.367488
35,32,128,32,128,67858,3,3.42528,29.799423,1,29.868032,4.49536,34.363392
36,32,128,32,128,67932,3,3.426304,29.812737,1,29.879295,4.507648,34.386943
37,32,128,32,128,68006,3,3.4304,29.782017,1,29.8496,4.512768,34.362368
38,32,128,32,128,68089,3,3.427328,29.817856,1,29.884417,4.506624,34.391041
39,32,128,32,128,68173,3,3.431424,29.80864,1,29.876225,4.516864,34.393088
40,32,128,32,128,68260,3,3.434496,29.820929,1,29.885441,4.514816,34.400257
41,32,128,32,128,68341,3,3.433472,29.801472,1,29.85984,4.512768,34.372608
42,32,128,32,128,68404,3,3.427328,29.832191,1,29.891584,4.508672,34.400257
43,32,128,32,128,68479,3,3.427328,29.810688,1,29.869057,4.51072,34.379776
44,32,128,32,128,68550,3,3.4304,29.821953,1,29.88032,4.517888,34.398208
45,32,128,32,128,68630,3,3.426304,29.830145,1,29.887487,4.507648,34.395135
46,32,128,32,128,68690,3,3.43552,29.829121,1,29.896704,4.512768,34.409472
47,32,2173,32,2173,68646,3,8.518656,-1,0,169.656326,9.57952,179.235847
48,32,128,32,128,68727,3,3.452928,30.198784,1,30.259199,4.538368,34.797567
49,32,128,32,128,68802,3,3.446784,30.057472,1,30.116863,4.527104,34.643967
50,32,128,32,128,68874,3,3.441664,29.984768,1,30.045183,4.538368,34.583551
51,32,128,32,128,68962,3,3.428352,29.925377,1,29.99296,4.511744,34.504704
52,32,128,32,128,69040,3,3.4304,29.797377,1,29.855743,4.511744,34.367487
53,32,128,32,128,69126,3,3.423232,29.876225,1,29.943808,4.502528,34.446336
54,32,6263,32,6263,68811,3,19.234816,-1,0,408.328186,20.312063,428.640249
55,32,6263,32,6263,68509,3,19.290112,-1,0,411.912201,20.364288,432.276489
56,32,2173,32,2173,68459,3,8.804352,-1,0,156.565506,9.877504,166.44301
57,32,2173,32,2173,68414,3,8.79616,-1,0,156.742661,9.86624,166.6089
58,32,4217,32,4217,68237,3,13.850624,-1,0,281.480194,14.921728,296.401922
59,32,6263,32,6263,67941,3,19.06176,-1,0,412.704773,20.127745,432.832518
60,31,8192,31,8192,65211,3,23.831553,-1,0,517.886963,24.901632,542.788595
61,32,4325,32,4325,67305,3,14.647296,-1,0,295.007233,15.709184,310.716416
62,32,6263,32,6263,67002,3,19.252224,-1,0,411.585541,20.325377,431.910917
63,32,2172,32,2172,66948,3,8.735744,-1,0,157.018112,9.810944,166.829056
64,32,128,32,128,67031,3,3.49184,30.81216,1,30.882816,4.5824,35.465216
65,32,6263,32,6263,66727,3,19.252224,-1,0,409.064453,20.311041,429.375494
66,32,4217,32,4217,66504,3,13.939712,-1,0,283.298828,15.010816,298.309644
67,32,2173,32,2173,66453,3,8.91904,-1,0,157.408249,9.988096,167.396345
68,32,128,32,128,66537,3,3.508224,31.325184,1,31.394815,4.584448,35.979263
69,32,2173,32,2173,66465,3,8.77568,-1,0,156.180481,9.843712,166.024193
70,32,128,32,128,66536,3,3.488768,30.770176,1,30.837761,4.576256,35.414017
71,32,2173,32,2173,66468,3,8.695808,-1,0,155.731964,9.754624,165.486588
72,32,128,32,128,66563,3,3.465216,30.626816,1,30.696447,4.539392,35.235839
73,32,128,32,128,66643,3,3.432448,30.077951,1,30.13632,4.506624,34.642944
74,32,128,32,128,66723,3,3.438592,29.923328,1,29.988865,4.516864,34.505729
75,32,128,32,128,66802,3,3.437568,29.919231,1,29.986816,4.514816,34.501632
76,32,128,32,128,66881,3,3.436544,29.945856,1,30.013439,4.519936,34.533375
77,32,128,32,128,66954,3,3.421184,29.966335,1,30.032896,4.487168,34.520064
78,32,128,32,128,67027,3,3.432448,29.974527,1,30.041088,4.511744,34.552832
79,32,128,32,128,67109,3,3.439616,29.937664,1,30.002176,4.518912,34.521088
80,32,128,32,128,67181,3,3.439616,29.965311,1,30.021631,4.51072,34.532351
81,32,128,32,128,67251,3,3.41504,29.816832,1,29.882368,4.487168,34.369536
82,32,128,32,128,67326,3,3.423232,29.765633,1,29.832191,4.491264,34.323455
