step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,128,256,-1,-1,-1,-1,-1,108.765182
1,128,128,-1,-1,-1,-1,-1,21.235712
2,0,-1,-1,-1,-1,-1,-1,0.004096
3,1,513,-1,-1,-1,-1,-1,59.98592
4,18,8192,-1,-1,-1,-1,-1,563.194885
5,34,8192,-1,-1,-1,-1,-1,480.460785
6,51,8192,-1,-1,-1,-1,-1,485.405701
7,67,8192,-1,-1,-1,-1,-1,487.667725
8,84,8192,-1,-1,-1,-1,-1,491.385864
9,100,8192,-1,-1,-1,-1,-1,495.045624
10,116,8192,-1,-1,-1,-1,-1,498.825226
11,128,6225,-1,-1,-1,-1,-1,396.268555
12,128,128,-1,-1,-1,-1,-1,23.313408
13,128,128,-1,-1,-1,-1,-1,23.134209
14,128,128,-1,-1,-1,-1,-1,23.046144
15,128,128,-1,-1,-1,-1,-1,23.043072
16,128,128,-1,-1,-1,-1,-1,23.03488
17,128,128,-1,-1,-1,-1,-1,23.012352
18,128,128,-1,-1,-1,-1,-1,22.959105
19,128,128,-1,-1,-1,-1,-1,22.974464
20,128,128,-1,-1,-1,-1,-1,22.996992
21,128,128,-1,-1,-1,-1,-1,23.042048
22,128,128,-1,-1,-1,-1,-1,23.01952
23,128,128,-1,-1,-1,-1,-1,23.021568
24,128,128,-1,-1,-1,-1,-1,23.009279
25,128,128,-1,-1,-1,-1,-1,23.032831
26,128,128,-1,-1,-1,-1,-1,23.0144
27,128,128,-1,-1,-1,-1,-1,23.033855
28,128,128,-1,-1,-1,-1,-1,22.992895
29,128,128,-1,-1,-1,-1,-1,23.027712
30,128,128,-1,-1,-1,-1,-1,23.043072
31,128,128,-1,-1,-1,-1,-1,23.03488
32,128,128,-1,-1,-1,-1,-1,23.054337
33,128,128,-1,-1,-1,-1,-1,23.037952
34,128,128,-1,-1,-1,-1,-1,23.068672
35,128,128,-1,-1,-1,-1,-1,23.064575
36,128,128,-1,-1,-1,-1,-1,23.088127
37,128,128,-1,-1,-1,-1,-1,23.070721
38,128,128,-1,-1,-1,-1,-1,23.094273
39,128,128,-1,-1,-1,-1,-1,23.111679
40,128,128,-1,-1,-1,-1,-1,23.13728
41,128,128,-1,-1,-1,-1,-1,23.129087
42,128,128,-1,-1,-1,-1,-1,23.138304
43,128,128,-1,-1,-1,-1,-1,23.149569
44,128,128,-1,-1,-1,-1,-1,23.138304
45,128,128,-1,-1,-1,-1,-1,23.138304
46,128,128,-1,-1,-1,-1,-1,23.141376
47,128,128,-1,-1,-1,-1,-1,23.153664
48,128,128,-1,-1,-1,-1,-1,23.179264
49,128,128,-1,-1,-1,-1,-1,23.18848
50,128,128,-1,-1,-1,-1,-1,23.163904
51,128,128,-1,-1,-1,-1,-1,23.191551
52,128,128,-1,-1,-1,-1,-1,23.213057
53,128,128,-1,-1,-1,-1,-1,23.217152
54,128,128,-1,-1,-1,-1,-1,23.248896
55,128,128,-1,-1,-1,-1,-1,23.258112
56,128,128,-1,-1,-1,-1,-1,23.230465
57,128,128,-1,-1,-1,-1,-1,23.26016
58,128,128,-1,-1,-1,-1,-1,23.276545
59,128,128,-1,-1,-1,-1,-1,23.29088
60,128,128,-1,-1,-1,-1,-1,23.259136
61,128,128,-1,-1,-1,-1,-1,23.287807
62,128,128,-1,-1,-1,-1,-1,23.267328
63,128,128,-1,-1,-1,-1,-1,23.269377
64,128,128,-1,-1,-1,-1,-1,23.26528
65,128,128,-1,-1,-1,-1,-1,23.308289
66,128,128,-1,-1,-1,-1,-1,23.331841
67,128,128,-1,-1,-1,-1,-1,23.349249
68,128,128,-1,-1,-1,-1,-1,23.365631
69,128,128,-1,-1,-1,-1,-1,23.388161
70,128,128,-1,-1,-1,-1,-1,23.361536
71,128,128,-1,-1,-1,-1,-1,23.394304
72,128,128,-1,-1,-1,-1,-1,23.412737
73,128,128,-1,-1,-1,-1,-1,23.416832
74,128,128,-1,-1,-1,-1,-1,23.43424
75,128,128,-1,-1,-1,-1,-1,23.438335
76,128,128,-1,-1,-1,-1,-1,23.427073
77,128,128,-1,-1,-1,-1,-1,23.430143
78,128,128,-1,-1,-1,-1,-1,23.436289
79,128,128,-1,-1,-1,-1,-1,23.440384
80,128,128,-1,-1,-1,-1,-1,23.453695
81,128,128,-1,-1,-1,-1,-1,23.477247
82,128,128,-1,-1,-1,-1,-1,23.474176
83,128,128,-1,-1,-1,-1,-1,23.496704
84,128,128,-1,-1,-1,-1,-1,23.530497
85,128,128,-1,-1,-1,-1,-1,23.534592
86,128,128,-1,-1,-1,-1,-1,23.522305
87,128,128,-1,-1,-1,-1,-1,23.540735
88,128,128,-1,-1,-1,-1,-1,23.571457
89,128,128,-1,-1,-1,-1,-1,23.566336
90,128,128,-1,-1,-1,-1,-1,23.610369
91,128,128,-1,-1,-1,-1,-1,23.595009
92,128,128,-1,-1,-1,-1,-1,23.559168
93,128,128,-1,-1,-1,-1,-1,23.579647
94,128,128,-1,-1,-1,-1,-1,23.60832
95,128,128,-1,-1,-1,-1,-1,23.646208
96,128,128,-1,-1,-1,-1,-1,23.612415
97,128,128,-1,-1,-1,-1,-1,23.615488
98,128,128,-1,-1,-1,-1,-1,23.655424
99,128,128,-1,-1,-1,-1,-1,23.674879
100,128,128,-1,-1,-1,-1,-1,23.694336
101,128,128,-1,-1,-1,-1,-1,23.693312
102,128,128,-1,-1,-1,-1,-1,23.725056
103,128,128,-1,-1,-1,-1,-1,23.73632
104,128,128,-1,-1,-1,-1,-1,23.763968
105,128,128,-1,-1,-1,-1,-1,23.75168
106,128,128,-1,-1,-1,-1,-1,23.752705
107,128,128,-1,-1,-1,-1,-1,23.761921
108,128,128,-1,-1,-1,-1,-1,23.775232
109,128,128,-1,-1,-1,-1,-1,23.755775
110,128,624,-1,-1,-1,-1,-1,71.204865
111,128,128,-1,-1,-1,-1,-1,23.896065
112,128,128,-1,-1,-1,-1,-1,23.857153
113,128,128,-1,-1,-1,-1,-1,23.905279
114,128,128,-1,-1,-1,-1,-1,23.867392
115,128,128,-1,-1,-1,-1,-1,23.85408
116,128,128,-1,-1,-1,-1,-1,23.855104
117,128,128,-1,-1,-1,-1,-1,23.887873
118,128,128,-1,-1,-1,-1,-1,23.881727
119,128,1120,-1,-1,-1,-1,-1,97.534973
120,128,623,-1,-1,-1,-1,-1,72.401917
121,128,1615,-1,-1,-1,-1,-1,124.410881
122,128,624,-1,-1,-1,-1,-1,72.884224
123,128,1119,-1,-1,-1,-1,-1,98.110466
124,128,1616,-1,-1,-1,-1,-1,124.766205
125,128,624,-1,-1,-1,-1,-1,72.553474
126,128,1616,-1,-1,-1,-1,-1,124.360703
127,128,1119,-1,-1,-1,-1,-1,99.453949
128,128,3102,-1,-1,-1,-1,-1,215.344131
129,128,4095,-1,-1,-1,-1,-1,267.617279
130,128,3104,-1,-1,-1,-1,-1,214.389755
131,128,1615,-1,-1,-1,-1,-1,124.215294
132,128,1615,-1,-1,-1,-1,-1,124.597244
133,128,1616,-1,-1,-1,-1,-1,125.019135
134,128,2607,-1,-1,-1,-1,-1,188.745728
135,128,2112,-1,-1,-1,-1,-1,157.126663
136,128,3599,-1,-1,-1,-1,-1,250.024963
137,128,3600,-1,-1,-1,-1,-1,250.546173
138,128,2112,-1,-1,-1,-1,-1,158.768127
139,128,3104,-1,-1,-1,-1,-1,214.325241
140,128,5085,-1,-1,-1,-1,-1,320.173065
141,128,3104,-1,-1,-1,-1,-1,213.102585
142,128,128,-1,-1,-1,-1,-1,23.617537
143,128,4590,-1,-1,-1,-1,-1,296.951813
144,128,1616,-1,-1,-1,-1,-1,122.323967
145,128,1616,-1,-1,-1,-1,-1,122.295296
146,128,2112,-1,-1,-1,-1,-1,156.160004
147,128,1615,-1,-1,-1,-1,-1,121.512962
148,128,1616,-1,-1,-1,-1,-1,122.435585
149,128,624,-1,-1,-1,-1,-1,68.574211
