step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,128,640,128,8192,8192,3,2963.499023,130.762756
1,128,512,128,640,640,3,6.59968,54.439938
2,0,-1,128,512,1152,3,5.2992,0.01024
3,1,513,-1,-1,-1,-1,-1,59.984898
4,17,8192,1,513,513,3,4.021248,507.902985
5,33,8192,17,8192,8705,3,22.004736,479.687683
6,49,8192,33,8192,16897,3,22.361088,485.91156
7,65,8192,49,8192,25086,3,22.676479,487.185394
8,80,8192,65,8192,33244,3,23.059456,490.973175
9,95,8192,80,8192,41391,3,23.214081,493.897736
10,111,8192,95,8192,49501,3,23.442432,497.136627
11,126,8192,111,8192,57597,3,23.459841,501.897217
12,128,1877,126,8192,65663,3,23.678976,141.401093
13,128,512,128,1877,67399,3,8.677376,56.142849
14,128,512,128,512,67743,3,5.035008,55.986176
15,128,512,128,512,68088,3,5.0176,55.812096
16,128,512,128,512,68404,3,5.046272,56.045567
17,128,512,128,512,68716,3,5.033984,56.112129
18,128,512,128,512,69044,3,5.033984,56.155136
19,128,512,128,512,69347,3,5.047296,56.695808
20,128,512,128,512,69646,3,5.064704,56.491009
21,128,512,128,512,69982,3,5.087232,56.966145
22,128,512,128,512,70300,3,5.092352,57.094143
23,128,512,128,512,70633,3,5.085184,56.763393
24,128,512,128,512,70956,3,5.075968,57.254913
25,128,512,128,512,71273,3,5.081088,57.339905
26,128,512,128,512,71598,3,5.091328,57.16275
27,128,512,128,512,71928,3,5.074944,57.179134
28,128,512,128,512,72229,3,5.085184,57.694206
29,128,512,128,512,72536,3,5.128192,57.496574
30,128,512,128,512,72849,3,5.080064,57.58976
31,128,512,128,512,73153,3,5.082112,57.761791
32,128,512,128,512,73461,3,5.118976,58.148865
33,128,512,128,512,73773,3,5.15072,57.927681
34,128,512,128,512,74094,3,5.121024,57.84269
35,128,512,128,512,74396,3,5.097472,58.023937
36,128,512,128,512,74713,3,5.11488,58.155006
37,128,512,128,512,75019,3,5.136384,58.266624
38,128,512,128,512,75345,3,5.136384,58.39872
39,128,512,128,512,75676,3,5.148672,58.687489
40,128,512,128,512,75987,3,5.151744,59.012096
41,128,512,128,512,76277,3,5.1712,58.521599
42,128,512,128,512,76604,3,5.152768,58.748928
43,128,512,128,512,76885,3,5.151744,58.720257
44,128,512,128,512,77158,3,5.16608,58.799103
45,128,512,128,512,77475,3,5.158912,58.981377
46,128,512,128,512,77772,3,5.154816,58.96909
47,128,512,128,512,78078,3,5.174272,59.131905
48,128,512,128,512,78366,3,5.184512,59.12064
49,128,1021,128,512,78674,3,5.16608,92.741631
50,128,512,128,1021,78854,3,6.567936,59.938816
51,128,512,128,512,79143,3,5.215232,59.720703
52,128,2038,128,512,79456,3,5.19168,150.62323
53,128,2038,128,2038,79394,3,9.050112,150.542343
54,128,3565,128,2038,79295,3,9.05216,246.719482
55,128,2548,128,3565,78851,3,13.160448,176.585724
56,128,2037,128,2548,78637,3,10.133504,150.39386
57,128,2548,128,2037,78577,3,9.0368,176.043015
58,128,6618,128,2548,78382,3,10.221568,413.562866
59,128,3565,128,6618,77097,3,20.082687,246.517761
60,128,3056,128,3565,76633,3,13.13792,209.810425
61,128,4583,128,3056,76267,3,11.7248,299.802612
62,128,5601,128,4583,75528,3,15.433728,356.475891
63,128,6620,128,5601,74466,3,17.755136,411.621368
64,128,4581,128,6620,73192,3,20.066303,298.516479
65,128,5602,128,4581,72460,3,15.415296,356.046844
66,128,5092,128,5602,71421,3,17.721344,320.447479
67,128,3565,128,5092,70544,3,16.163839,245.340164
68,128,512,128,3565,70065,3,13.134848,57.470978
69,128,4583,128,512,70398,3,5.100544,297.754639
70,128,2548,128,4583,69570,3,15.338496,174.15065
71,128,1530,128,2548,69338,3,10.0608,117.914627
72,128,512,128,1530,69370,3,7.69024,57.326591
73,128,1514,128,512,69696,3,5.110784,117.000191
74,128,512,128,1514,69757,3,7.68,57.563137
75,128,512,128,512,70088,3,5.101568,57.051136
76,128,512,128,512,70416,3,5.062656,57.199615
77,128,1021,128,512,70760,3,5.096448,90.488831
78,128,1021,128,1021,70950,3,6.46144,90.676224
79,128,512,128,1021,71132,3,6.448128,57.396225
80,128,512,128,512,71477,3,5.106688,57.300991
81,128,512,128,512,71784,3,5.118976,57.575424
82,128,512,128,512,72111,3,5.112832,57.667583
83,128,512,128,512,72437,3,5.12,58.232834
