step,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms
0,128,8192,8192,3,544.815125
1,128,640,640,3,4.919296
2,128,512,1152,3,4.370432
3,1,1025,1025,3,4.629504
4,9,8192,9217,3,22.243328
5,17,8192,17409,3,22.70208
6,25,8192,25599,3,22.660095
7,33,8192,33773,3,23.10656
8,41,8192,41942,3,23.417856
9,49,8192,50097,3,23.578625
10,57,8192,58237,3,23.774208
11,65,8192,66352,3,23.944193
12,72,8192,74470,3,24.051712
13,80,8192,82575,3,24.205313
14,88,8192,90681,3,24.416256
15,95,8192,98742,3,24.561665
16,103,8192,106816,3,24.732672
17,111,8192,114886,3,24.983553
18,118,8192,122926,3,25.115648
19,126,8192,130951,3,25.299969
20,128,3378,134161,3,13.30688
21,128,512,134485,3,6.235136
22,128,512,134798,3,6.222848
23,128,512,135103,3,6.234112
24,128,512,135410,3,6.221824
25,128,512,135738,3,6.228992
26,128,512,136045,3,6.238208
27,128,512,136357,3,6.212608
28,128,512,136677,3,6.248448
29,128,512,136987,3,6.238208
30,128,512,137311,3,6.264832
31,128,512,137658,3,6.23104
32,128,512,137974,3,6.290432
33,128,512,138288,3,6.279168
34,128,512,138622,3,6.257664
35,128,512,138942,3,6.294528
36,128,512,139239,3,6.26176
37,128,512,139538,3,6.272
38,128,512,139857,3,6.237184
39,128,512,140164,3,6.317056
40,128,512,140477,3,6.322176
41,128,512,140790,3,6.293504
42,128,512,141084,3,6.321152
43,128,512,141416,3,6.28736
44,128,512,141739,3,6.340608
45,128,512,142032,3,6.341632
46,128,512,142337,3,6.29248
47,128,512,142639,3,6.321152
48,128,512,142967,3,6.308864
49,128,512,143261,3,6.335488
50,128,512,143577,3,6.326272
51,128,1533,143755,3,9.084928
52,128,1532,143936,3,9.054208
53,128,3575,143862,3,14.567424
54,128,1533,144063,3,8.996864
55,128,5617,143742,3,19.129345
56,128,1533,143928,3,9.068544
57,128,2554,143958,3,11.481088
58,128,2554,144038,3,11.414528
59,128,7657,143432,3,24.131584
60,128,7659,142836,3,23.909376
61,125,8192,138158,3,25.322496
62,128,8192,140427,3,25.419777
63,128,5549,141183,3,19.192833
64,128,5617,140854,3,19.08736
65,125,8192,136141,3,25.573376
66,123,8192,132602,3,25.277439
67,127,8192,137155,3,25.598976
68,128,7029,138228,3,23.016447
69,128,3575,138151,3,14.466048
70,128,4595,137931,3,16.697344
71,128,5616,137524,3,19.039232
72,128,7659,136863,3,23.831553
73,128,5616,136484,3,19.177471
74,128,6636,136009,3,21.673985
75,128,2554,136071,3,11.35104
76,128,5615,135718,3,19.006464
77,128,1533,135917,3,8.881152
78,128,3559,135807,3,14.429184
79,128,512,136113,3,6.255616
80,128,1533,136310,3,8.901632
81,128,512,136632,3,6.268928
82,128,512,136958,3,6.253568
83,128,1533,137155,3,8.91904
84,128,512,137491,3,6.276096
85,128,1533,137675,3,8.928256
86,128,512,138018,3,6.293504
87,128,512,138332,3,6.2976
88,128,512,138654,3,6.281216
89,128,512,138965,3,6.290432
90,128,512,139272,3,6.286336
91,128,512,139579,3,6.25152
92,128,512,139886,3,6.276096
93,128,512,140206,3,6.296576
94,128,512,140509,3,6.278144
95,128,512,140813,3,6.296576
96,128,512,141126,3,6.309888
97,128,512,141463,3,6.32832
98,128,512,141800,3,6.30784
99,128,1533,141977,3,9.00096
100,128,512,142270,3,6.373376
101,128,512,142582,3,6.294528
102,128,512,142900,3,6.332416
103,128,1533,143043,3,9.020416
104,128,512,143367,3,6.368256
105,128,3575,143277,3,14.55104
106,128,4596,143073,3,16.786432
107,128,1533,143232,3,9.022464
108,128,5617,142875,3,19.271681
109,128,4596,142651,3,16.776192
110,128,2553,142708,3,11.452416
111,128,4596,142492,3,16.769024
112,128,3574,142389,3,14.491648
113,128,4596,142188,3,16.779264
114,126,8192,138672,3,25.611263
115,128,6058,141136,3,20.619265
116,128,4595,140897,3,16.753664
117,126,8192,137363,3,25.587711
118,126,8192,136154,3,25.590784
119,128,7588,138945,3,24.061953
120,128,6636,138496,3,21.784576
121,128,7659,137892,3,24.275969
122,128,2554,137962,3,11.38176
123,128,1533,138151,3,8.92928
124,126,8192,134684,3,25.814016
125,128,7066,136959,3,22.991873
