step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,64,320,64,320,320,3,4.1984,28.186625,1,80.456703,180.62439,261.081093
1,64,256,64,256,576,3,3.597312,24.492031,1,28.217344,44.577793,72.795137
2,1,1025,1,1025,1025,3,5.446656,-1,0,92.11187,6.28224,98.39411
3,9,8192,9,8192,9217,3,22.693888,-1,0,500.185089,23.557119,523.742208
4,17,8192,17,8192,17409,3,23.542784,-1,0,504.807434,24.47872,529.286154
5,25,8192,25,8192,25599,3,23.348225,-1,0,511.05484,24.343552,535.398392
6,33,8192,33,8192,33773,3,23.573503,-1,0,510.902283,24.619007,535.52129
7,41,8192,41,8192,41942,3,24.153088,-1,0,515.546082,25.54368,541.089762
8,49,8192,49,8192,50097,3,24.301567,-1,0,518.501404,25.735168,544.236572
9,57,8192,57,8192,58237,3,24.499201,-1,0,522.460144,25.973761,548.433905
10,64,8121,64,8121,66281,3,24.532991,-1,0,524.688354,26.049536,550.73789
11,64,256,64,256,66463,3,4.078592,37.83168,1,37.901314,5.584896,43.48621
12,64,256,64,256,66632,3,4.061184,37.20499,1,37.266434,5.554176,42.82061
13,64,256,64,256,66804,3,4.063232,37.197823,1,37.265408,5.559296,42.824704
14,64,256,64,256,66946,3,4.061184,37.176319,1,37.243904,5.558272,42.802176
15,64,256,64,256,67105,3,4.078592,37.483521,1,37.554176,5.587968,43.142144
16,64,256,64,256,67281,3,4.086784,37.51424,1,37.584896,5.595136,43.180032
17,64,256,64,256,67434,3,4.088832,37.55315,1,37.622784,5.598208,43.220992
18,64,256,64,256,67595,3,4.064256,37.342209,1,37.410816,5.5552,42.966016
19,64,256,64,256,67751,3,4.067328,37.259266,1,37.325825,5.563392,42.889217
20,64,256,64,256,67906,3,4.073472,37.28384,1,37.352448,5.567488,42.919936
21,64,256,64,256,68055,3,4.061184,37.13229,1,37.20192,5.552128,42.754047
22,64,256,64,256,68195,3,4.067328,37.309441,1,37.369858,5.569536,42.939394
23,64,256,64,256,68344,3,4.088832,37.633022,1,37.700607,5.59616,43.296767
24,64,256,64,256,68512,3,4.096,37.641216,1,37.708801,5.597184,43.305985
25,64,256,64,256,68678,3,4.096,37.641216,1,37.709824,5.602304,43.312128
26,64,256,64,256,68842,3,4.0704,37.477375,1,37.548031,5.559296,43.107327
27,64,256,64,256,69001,3,4.076544,37.357567,1,37.4272,5.568512,42.995712
