step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,128,640,128,640,640,3,5.106688,-1,0,103.169022,187.985916,291.154938
1,128,512,128,512,1152,3,4.276224,37.516289,1,42.19392,53.733376,95.927296
2,1,1025,1,1025,1025,3,5.438464,-1,0,92.195839,6.273024,98.468863
3,9,8192,9,8192,9217,3,22.709248,-1,0,506.246155,23.566336,529.81249
4,17,8192,17,8192,17409,3,23.655424,-1,0,506.87796,24.601601,531.479561
5,25,8192,25,8192,25599,3,23.353344,-1,0,509.426697,24.354816,533.781513
6,33,8192,33,8192,33773,3,23.826431,-1,0,512.435181,24.8832,537.31838
7,41,8192,41,8192,41942,3,23.907328,-1,0,515.222534,25.285631,540.508165
8,49,8192,49,8192,50097,3,24.402945,-1,0,521.250793,25.848831,547.099625
9,57,8192,57,8192,58237,3,24.583168,-1,0,519.696411,26.054655,545.751066
10,65,8192,65,8192,66352,3,24.446976,-1,0,527.2453,25.958401,553.203701
11,72,8192,72,8192,74470,3,24.803328,-1,0,526.927856,26.791937,553.719793
12,80,8192,80,8192,82575,3,25.102337,-1,0,531.984375,27.134975,559.11935
13,88,8192,88,8192,90681,3,25.145344,-1,0,533.645325,27.208704,560.854029
14,95,8192,95,8192,98742,3,25.29792,-1,0,537.348083,27.396095,564.744179
15,103,8192,103,8192,106816,3,25.485312,-1,0,539.562012,28.163073,567.725084
16,111,8192,111,8192,114886,3,25.443329,-1,0,543.512573,28.130304,571.642878
17,118,8192,118,8192,122926,3,26.046465,-1,0,544.5755,28.817408,573.392908
18,126,8192,126,8192,130951,3,26.027008,-1,0,548.690918,28.807167,577.498085
19,128,3378,128,3378,134161,3,13.505536,-1,0,254.586884,16.284672,270.871555
20,128,512,128,512,134485,3,6.286336,82.374657,1,82.445312,8.993792,91.439104
21,128,512,128,512,134798,3,6.288384,81.551361,1,81.614845,8.976384,90.591229
22,128,512,128,512,135103,3,6.264832,82.247681,1,82.320381,8.964096,91.284477
23,128,512,128,512,135410,3,6.258688,81.827843,1,81.900543,8.93952,90.840063
24,128,512,128,512,135738,3,6.301696,81.808388,1,81.881088,8.986624,90.867712
25,128,512,128,512,136045,3,6.299648,81.942528,1,82.011139,8.979456,90.990595
26,128,512,128,512,136357,3,6.301696,82.19648,1,82.267136,8.983552,91.250688
27,128,512,128,512,136677,3,6.299648,82.208771,1,82.279427,8.979456,91.258883
28,128,512,128,512,136987,3,6.30784,82.177025,1,82.246658,8.99584,91.242498
29,128,512,128,512,137311,3,6.269952,82.947075,1,83.008514,8.969216,91.977731
30,128,512,128,512,137658,3,6.350848,82.616318,1,82.686974,9.055232,91.742206
31,128,512,128,512,137974,3,6.3488,83.023872,1,83.095551,9.05728,92.15283
32,128,512,128,512,138288,3,6.340608,83.202049,1,83.272705,9.023488,92.296193
33,128,512,128,512,138622,3,6.325248,83.48365,1,83.554306,9.02656,92.580866
34,128,512,128,512,138942,3,6.31808,82.886658,1,82.952194,9.004032,91.956226
35,128,512,128,512,139239,3,6.322176,82.946045,1,83.015678,9.00608,92.021758
