step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,32,160,32,160,160,3,3.85536,24.267776,1,73.375748,171.492355,244.868103
1,32,128,32,128,288,3,3.120128,19.582975,1,22.817793,41.104385,63.922178
2,1,1025,1,1025,1025,3,5.450752,-1,0,92.260353,6.283264,98.543617
3,9,8192,9,8192,9217,3,22.688768,-1,0,512.246765,23.545856,535.792622
4,17,8192,17,8192,17409,3,23.811071,-1,0,504.642548,24.742912,529.38546
5,25,8192,25,8192,25599,3,23.35232,-1,0,509.112335,24.354816,533.467152
6,32,7389,32,7389,32970,3,21.641216,-1,0,464.041992,22.68672,486.728712
7,32,128,32,128,33075,3,3.100672,24.945663,1,25.014273,4.178944,29.193217
8,32,128,32,128,33166,3,3.069952,24.301567,1,24.369152,4.148224,28.517376
9,32,128,32,128,33242,3,3.034112,23.865343,1,23.931904,4.102144,28.034048
10,32,128,32,128,33315,3,3.014656,23.745537,1,23.81312,4.09088,27.904
11,32,128,32,128,33397,3,3.011584,23.644159,1,23.711744,4.097024,27.808768
12,32,128,32,128,33480,3,3.02592,23.650305,1,23.707647,4.092928,27.800575
13,32,128,32,128,33562,3,3.022848,23.642113,1,23.707647,4.100096,27.807744
14,32,128,32,128,33632,3,3.012608,23.652351,1,23.717888,4.097024,27.814912
15,32,128,32,128,33720,3,3.024896,23.650305,1,23.707647,4.100096,27.807744
16,32,128,32,128,33811,3,3.0208,23.655424,1,23.717888,4.103168,27.821056
17,32,128,32,128,33882,3,3.022848,23.638016,1,23.704576,4.10624,27.810816
18,32,128,32,128,33961,3,3.026944,23.652351,1,23.717888,4.105216,27.823104
19,32,128,32,128,34041,3,3.02592,23.66464,1,23.718912,4.096,27.814912
20,32,128,32,128,34113,3,3.028992,23.653376,1,23.713793,4.09088,27.804673
21,32,128,32,128,34192,3,3.01568,23.662592,1,23.718912,4.081664,27.800576
22,32,128,32,128,34262,3,3.026944,23.670784,1,23.728128,4.105216,27.833344
23,32,128,32,128,34332,3,3.023872,23.657473,1,23.719936,4.103168,27.823104
24,32,128,32,128,34418,3,3.023872,23.641088,1,23.70048,4.103168,27.803648
25,32,128,32,128,34501,3,3.032064,23.660543,1,23.724031,4.10624,27.830271
26,32,128,32,128,34589,3,3.027968,23.688192,1,23.744513,4.098048,27.842561
27,32,128,32,128,34660,3,3.026944,23.684095,1,23.748608,4.107264,27.855872
28,32,128,32,128,34737,3,3.030016,23.678976,1,23.744513,4.104192,27.848704
29,32,128,32,128,34817,3,3.023872,23.673857,1,23.739391,4.098048,27.83744
30,32,128,32,128,34910,3,3.026944,23.68512,1,23.75168,4.102144,27.853824
31,32,128,32,128,34983,3,3.026944,23.683071,1,23.74144,4.105216,27.846656
32,32,128,32,128,35053,3,3.037184,23.681025,1,23.747583,4.109312,27.856895
33,32,128,32,128,35135,3,3.027968,23.676928,1,23.742464,4.104192,27.846656
34,32,128,32,128,35206,3,3.027968,23.677952,1,23.744513,4.097024,27.841537
35,32,128,32,128,35275,3,3.033088,23.702528,1,23.760897,4.114432,27.875329
36,32,128,32,128,35351,3,3.040256,23.699455,1,23.764992,4.115456,27.880448
37,32,128,32,128,35437,3,3.032064,23.705601,1,23.773184,4.120576,27.89376
38,32,128,32,128,35506,3,3.028992,23.719936,1,23.787519,4.112384,27.899903
39,32,128,32,128,35582,3,3.026944,23.718912,1,23.784449,4.100096,27.884545
40,32,128,32,128,35661,3,3.038208,23.683071,1,23.748608,4.11136,27.859968
