step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,224,448,-1,-1,-1,-1,-1,54.756351,1,3935.290283,12351.385742,16286.676025
1,224,224,-1,-1,-1,-1,-1,27.2896,1,28.599297,11.483136,40.082433
2,1,513,-1,-1,-1,-1,-1,-1,0,59.183105,0.832512,60.015617
3,18,8192,-1,-1,-1,-1,-1,-1,0,500.894714,0.867328,501.762042
4,34,8192,-1,-1,-1,-1,-1,-1,0,495.179779,0.888832,496.068611
5,51,8192,-1,-1,-1,-1,-1,-1,0,502.042633,0.913408,502.956041
6,67,8192,-1,-1,-1,-1,-1,-1,0,504.627197,0.959488,505.586685
7,84,8192,-1,-1,-1,-1,-1,-1,0,508.742645,1.021952,509.764597
8,100,8192,-1,-1,-1,-1,-1,-1,0,511.401978,1.006592,512.40857
9,116,8192,-1,-1,-1,-1,-1,-1,0,514.999268,1.028096,516.027364
10,132,8192,-1,-1,-1,-1,-1,-1,0,519.920654,1.333248,521.253902
11,149,8192,-1,-1,-1,-1,-1,-1,0,522.096619,1.362944,523.459563
12,165,8192,-1,-1,-1,-1,-1,-1,0,528.503784,1.39776,529.901544
13,181,8192,-1,-1,-1,-1,-1,-1,0,531.544067,1.41824,532.962307
14,197,8192,-1,-1,-1,-1,-1,-1,0,532.928528,1.42336,534.351888
15,213,8192,-1,-1,-1,-1,-1,-1,0,537.618408,1.439744,539.058152
16,224,5802,-1,-1,-1,-1,-1,-1,0,397.991943,1.477632,399.469575
17,224,224,-1,-1,-1,-1,-1,32.334846,1,32.40448,1.434624,33.839104
18,224,224,-1,-1,-1,-1,-1,31.824896,1,31.893503,1.41824,33.311743
19,224,224,-1,-1,-1,-1,-1,31.543297,1,31.613953,1.427456,33.041409
20,224,224,-1,-1,-1,-1,-1,31.608831,1,31.679487,1.425408,33.104895
21,224,224,-1,-1,-1,-1,-1,31.494144,1,31.5648,1.415168,32.979968
22,224,224,-1,-1,-1,-1,-1,31.426559,1,31.495169,1.415168,32.910337
23,224,224,-1,-1,-1,-1,-1,31.439873,1,31.509504,1.41312,32.922624
24,224,224,-1,-1,-1,-1,-1,31.446016,1,31.515648,1.411072,32.92672
25,224,224,-1,-1,-1,-1,-1,31.437824,1,31.50848,1.41824,32.92672
26,224,224,-1,-1,-1,-1,-1,31.440895,1,31.510529,1.412096,32.922625
27,224,224,-1,-1,-1,-1,-1,31.435776,1,31.497215,1.412096,32.909311
28,224,224,-1,-1,-1,-1,-1,31.443968,1,31.513599,1.410048,32.923647
29,224,224,-1,-1,-1,-1,-1,31.468544,1,31.538176,1.416192,32.954368
30,224,224,-1,-1,-1,-1,-1,31.490047,1,31.558657,1.415168,32.973825
31,224,224,-1,-1,-1,-1,-1,31.488001,1,31.550465,1.41824,32.968705
32,224,224,-1,-1,-1,-1,-1,31.501312,1,31.568895,1.408,32.976895
33,224,224,-1,-1,-1,-1,-1,31.502337,1,31.56992,1.420288,32.990208
34,224,224,-1,-1,-1,-1,-1,31.524864,1,31.592447,1.416192,33.008639
35,224,224,-1,-1,-1,-1,-1,31.561728,1,31.630337,1.416192,33.046529
36,224,224,-1,-1,-1,-1,-1,31.572992,1,31.6416,1.41824,33.05984
37,224,224,-1,-1,-1,-1,-1,31.587328,1,31.649792,1.417216,33.067008
38,224,224,-1,-1,-1,-1,-1,31.579136,1,31.648767,1.417216,33.065983
39,224,224,-1,-1,-1,-1,-1,31.603712,1,31.673344,1.414144,33.087488
40,224,224,-1,-1,-1,-1,-1,31.619072,1,31.688704,1.417216,33.105919
41,224,224,-1,-1,-1,-1,-1,31.630337,1,31.692801,1.420288,33.113088
42,224,224,-1,-1,-1,-1,-1,31.662081,1,31.731712,1.41312,33.144832
43,224,224,-1,-1,-1,-1,-1,31.670273,1,31.73888,1.412096,33.150976
44,224,224,-1,-1,-1,-1,-1,31.762432,1,31.832064,1.419264,33.251328
45,224,224,-1,-1,-1,-1,-1,31.907841,1,31.976448,1.42336,33.399808
46,224,224,-1,-1,-1,-1,-1,31.929344,1,32.001022,1.42336,33.424382
47,224,224,-1,-1,-1,-1,-1,31.993856,1,32.065536,1.426432,33.491969
48,224,224,-1,-1,-1,-1,-1,32.007168,1,32.076801,1.42336,33.500161
49,224,224,-1,-1,-1,-1,-1,32.028671,1,32.097279,1.432576,33.529855
50,224,224,-1,-1,-1,-1,-1,32.023552,1,32.100353,1.422336,33.522689
51,224,224,-1,-1,-1,-1,-1,31.983616,1,32.052223,1.427456,33.479679
52,224,224,-1,-1,-1,-1,-1,32.009216,1,32.07885,1.424384,33.503234
53,224,224,-1,-1,-1,-1,-1,32.026623,1,32.096256,1.422336,33.518592
54,224,224,-1,-1,-1,-1,-1,32.016384,1,32.086018,1.412096,33.498114
55,224,224,-1,-1,-1,-1,-1,31.842304,1,31.910912,1.415168,33.32608
56,224,224,-1,-1,-1,-1,-1,31.874048,1,31.94368,1.41312,33.3568
57,224,224,-1,-1,-1,-1,-1,31.854591,1,31.925247,1.412096,33.337343
58,224,224,-1,-1,-1,-1,-1,31.923201,1,31.991808,1.409024,33.400832
59,224,224,-1,-1,-1,-1,-1,31.915009,1,31.983616,1.419264,33.40288
60,224,224,-1,-1,-1,-1,-1,31.936512,1,32.006145,1.416192,33.422338
61,224,224,-1,-1,-1,-1,-1,31.966208,1,32.034817,1.417216,33.452033
62,224,224,-1,-1,-1,-1,-1,31.9744,1,32.043007,1.411072,33.454079
63,224,224,-1,-1,-1,-1,-1,31.978497,1,32.047104,1.409024,33.456128
64,224,224,-1,-1,-1,-1,-1,32.006145,1,32.075775,1.411072,33.486847
65,224,224,-1,-1,-1,-1,-1,32.015362,1,32.081921,1.416192,33.498113
66,224,224,-1,-1,-1,-1,-1,32.044033,1,32.111614,1.417216,33.52883
67,224,224,-1,-1,-1,-1,-1,32.06144,1,32.121857,1.411072,33.532929
68,224,224,-1,-1,-1,-1,-1,32.088062,1,32.149506,1.41312,33.562626
69,224,224,-1,-1,-1,-1,-1,32.101376,1,32.171009,1.419264,33.590273
70,224,224,-1,-1,-1,-1,-1,32.130047,1,32.198654,1.41824,33.616894
