step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,exec_ms,sample_ms,step_ms
0,128,640,128,640,640,3,5.035008,-1,0,524.047363,190.520325,714.567688
1,128,512,128,512,1152,3,5.127168,37.28384,1,374.135803,3406.412842,3780.548645
2,1,513,1,513,513,3,4.017152,-1,0,59.510784,4.855808,64.366592
3,17,8192,17,8192,8705,3,22.678528,-1,0,527.285278,23.587839,550.873117
4,33,8192,33,8192,16897,3,22.960129,-1,0,494.523407,23.981056,518.504463
5,49,8192,49,8192,25086,3,23.516159,-1,0,503.787506,24.914944,528.70245
6,65,8192,65,8192,33244,3,23.749632,-1,0,504.944641,25.237503,530.182144
7,80,8192,80,8192,41391,3,23.901184,-1,0,508.201996,25.889791,534.091787
8,95,8192,95,8192,49501,3,24.129536,-1,0,511.425537,26.169344,537.594881
9,111,8192,111,8192,57597,3,24.411137,-1,0,514.843628,27.069441,541.913069
10,126,8192,126,8192,65663,3,24.634369,-1,0,517.817322,27.364351,545.181673
11,128,1877,128,1877,67399,3,8.964096,-1,0,146.766846,11.712512,158.479358
12,128,512,128,512,67743,3,5.174272,57.904129,1,57.974785,7.911424,65.886209
13,128,512,128,512,68088,3,5.157888,57.334785,1,57.406464,7.861248,65.267712
14,128,512,128,512,68404,3,5.138432,57.059326,1,57.13203,7.816192,64.948223
15,128,512,128,512,68716,3,5.144576,57.161728,1,57.231361,7.824384,65.055746
16,128,512,128,512,69044,3,5.15072,57.377792,1,57.447426,7.831552,65.278978
17,128,512,128,512,69347,3,5.168128,57.807873,1,57.877502,7.87968,65.757183
18,128,512,128,512,69646,3,5.152768,57.611263,1,57.680897,7.831552,65.512449
19,128,512,128,512,69982,3,5.154816,57.578495,1,57.639935,7.835648,65.475583
20,128,512,128,512,70300,3,5.180416,57.721855,1,57.782272,7.858176,65.640449
21,128,512,128,512,70633,3,5.20192,58.252289,1,58.315777,7.916544,66.232321
22,128,512,128,512,70956,3,5.161984,58.095615,1,58.166271,7.847936,66.014207
23,128,512,128,512,71273,3,5.177344,57.954304,1,58.022911,7.858176,65.881087
24,128,512,128,512,71598,3,5.198848,58.465279,1,58.525696,7.898112,66.423808
25,128,512,128,512,71928,3,5.215232,58.644482,1,58.715137,7.918592,66.633729
26,128,512,128,512,72229,3,5.245952,58.755074,1,58.817535,7.975936,66.793471
27,128,512,128,512,72536,3,5.236736,58.935295,1,59.000832,7.945216,66.946048
28,128,512,128,512,72849,3,5.200896,59.100159,1,59.169792,7.886848,67.05664
29,128,512,128,512,73153,3,5.194752,58.702847,1,58.773502,7.877632,66.651134
30,128,512,128,512,73461,3,5.209088,58.920959,1,58.990593,7.891968,66.882561
31,128,512,128,512,73773,3,5.215232,58.923008,1,58.992641,7.891968,66.884609
32,128,512,128,512,74094,3,5.210112,59.016193,1,59.08173,7.890944,66.972674
33,128,512,128,512,74396,3,5.221376,59.06739,1,59.128834,7.899136,67.02797
34,128,512,128,512,74713,3,5.228544,59.310081,1,59.372543,7.907328,67.279871
