step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,128,640,128,8192,8192,3,1167.170532,128.754684
1,128,512,128,640,640,3,6.43584,53.786625
2,0,-1,128,512,1152,3,5.31968,0.004096
3,1,1025,-1,-1,-1,-1,-1,92.868607
4,9,8192,1,1025,1025,3,5.425152,525.097961
5,17,8192,9,8192,9217,3,22.782976,501.779449
6,25,8192,17,8192,17409,3,23.071745,506.983429
7,33,8192,25,8192,25599,3,23.417856,508.538879
8,41,8192,33,8192,33773,3,23.653376,512.691223
9,49,8192,41,8192,41942,3,23.963648,515.364868
10,57,8192,49,8192,50097,3,24.046593,519.729126
11,65,8192,57,8192,58237,3,24.122368,522.926086
12,72,8192,65,8192,66352,3,24.49408,524.564453
13,80,8192,72,8192,74470,3,24.63232,528.399353
14,88,8192,80,8192,82575,3,24.675327,531.536926
15,95,8192,88,8192,90681,3,24.991743,533.484558
16,103,8192,95,8192,98742,3,25.141249,537.605103
17,111,8192,103,8192,106816,3,25.437183,540.917786
18,118,8192,111,8192,114886,3,25.745407,543.345642
19,126,8192,118,8192,122926,3,25.688065,546.983948
20,128,3378,126,8192,130951,3,25.849855,254.550018
21,128,512,128,3378,134161,3,13.550592,82.804733
22,128,512,128,512,134485,3,6.281216,81.811455
23,128,512,128,512,134798,3,6.254592,81.651711
24,128,512,128,512,135103,3,6.278144,81.975296
25,128,512,128,512,135410,3,6.299648,82.092033
26,128,512,128,512,135738,3,6.309888,82.30912
27,128,512,128,512,136045,3,6.291456,82.350082
28,128,512,128,512,136357,3,6.262784,82.052094
29,128,512,128,512,136677,3,6.265856,82.470909
30,128,512,128,512,136987,3,6.315008,82.685951
31,128,512,128,512,137311,3,6.306816,83.165184
32,128,512,128,512,137658,3,6.340608,82.912254
33,128,512,128,512,137974,3,6.305792,83.590141
34,128,512,128,512,138288,3,6.330368,83.110909
35,128,512,128,512,138622,3,6.341632,83.149826
36,128,512,128,512,138942,3,6.317056,82.821121
37,128,512,128,512,139239,3,6.300672,83.194878
38,128,512,128,512,139538,3,6.350848,83.243011
39,128,512,128,512,139857,3,6.313984,83.067902
40,128,512,128,512,140164,3,6.298624,83.722237
41,128,512,128,512,140477,3,6.342656,83.802109
42,128,512,128,512,140790,3,6.385664,83.900414
43,128,512,128,512,141084,3,6.36416,83.931137
44,128,512,128,512,141416,3,6.373376,83.886078
