step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
122,32,2170,32,128,34061,3,3.099648,148.464645
123,32,128,32,2170,33848,3,8.323072,24.715263
124,32,128,32,128,33918,3,3.0976,24.26368
125,32,128,32,128,34004,3,3.058688,24.059904
126,32,128,32,128,34084,3,3.059712,23.866367
127,32,128,32,128,34157,3,3.028992,23.82336
128,32,1149,32,128,34241,3,3.035136,83.169281
129,32,128,32,1149,34171,3,5.61152,24.920065
130,32,1149,32,128,34256,3,3.088384,83.416061
131,32,128,32,1149,34190,3,5.576704,24.79616
132,32,128,32,128,34263,3,3.091456,24.402945
133,32,128,32,128,34334,3,3.072,24.013824
134,32,128,32,128,34409,3,3.033088,23.863297
135,32,128,32,128,34490,3,3.04128,23.780352
136,32,128,32,128,34567,3,3.01568,23.734272
137,32,128,32,128,34655,3,3.03104,23.791616
138,32,128,32,128,34742,3,3.037184,23.79776
139,32,128,32,128,34820,3,3.072,23.944193
140,32,128,32,128,34904,3,3.045376,23.92576
141,32,128,32,128,34981,3,3.040256,23.824385
142,32,128,32,128,35062,3,3.027968,23.778303
143,32,128,32,128,35137,3,3.024896,23.764992
144,32,128,32,128,35214,3,3.035136,23.834623
145,32,128,32,128,35290,3,3.02592,23.821312
146,32,128,32,128,35368,3,3.034112,23.824385
147,32,128,32,128,35445,3,3.033088,23.830528
148,32,128,32,128,35524,3,3.044352,23.818239
149,32,128,32,128,35607,3,3.035136,23.822336
150,32,128,32,128,35692,3,3.039232,23.840769
151,32,128,32,128,35776,3,3.043328,23.789568
152,32,128,32,128,35860,3,3.03616,23.789568
153,32,1149,32,128,35920,3,3.03104,83.077118
154,32,128,32,1149,35863,3,5.641216,24.895489
155,32,128,32,128,35947,3,3.105792,24.457216
156,32,128,32,128,36030,3,3.083264,24.174591
157,32,1149,32,128,36102,3,3.058688,83.06176
158,32,128,32,1149,36055,3,5.649408,24.962048
159,32,1148,32,128,36137,3,3.1232,83.726334
160,32,2170,32,1148,36093,3,5.635072,150.10202
161,32,2169,32,2170,35920,3,8.469504,149.250046
162,32,3191,32,2169,35751,3,8.414208,210.397186
163,32,5233,32,3191,35434,3,11.012096,345.457672
164,32,1149,32,5233,34852,3,16.676865,84.829185
165,32,2170,32,1149,34816,3,5.5808,149.803009
166,32,2169,32,2170,34641,3,8.450048,148.909058
167,32,128,32,2169,34464,3,8.359936,24.788992
168,32,128,32,128,34540,3,3.0976,24.366079
169,32,128,32,128,34610,3,3.062784,24.111103
170,32,2169,32,128,34681,3,3.0464,147.683334
171,32,1149,32,2169,34484,3,8.449024,85.02784
172,32,2168,32,1149,34418,3,5.592064,148.614151
173,32,128,32,2168,34224,3,8.433664,25.031679
174,32,1149,32,128,34306,3,3.098624,83.572739
175,32,2170,32,1149,34252,3,5.5808,149.724167
176,32,128,32,2170,34071,3,8.441856,24.834047
177,32,1149,32,128,34152,3,3.100672,83.945473
178,32,128,32,1149,34086,3,5.64224,24.844288
179,32,128,32,128,34159,3,3.110912,24.381439
180,32,1149,32,128,34254,3,3.064832,83.283966
181,32,128,32,1149,34192,3,5.641216,24.999935
182,32,128,32,128,34271,3,3.104768,24.415232
183,32,1149,32,128,34354,3,3.073024,83.528702
184,32,128,32,1149,34295,3,5.622784,24.833023
185,32,1149,32,128,34375,3,3.100672,83.726334
186,32,128,32,1149,34316,3,5.63712,24.871937
187,32,128,32,128,34390,3,3.095552,24.332289
188,32,128,32,128,34463,3,3.072,24.055807
189,32,128,32,128,34562,3,3.0464,23.922688
190,32,128,32,128,34639,3,3.038208,23.944193
191,32,128,32,128,34718,3,3.045376,23.905279
192,32,128,32,128,34799,3,3.034112,23.800833
193,32,128,32,128,34881,3,3.037184,23.760897
194,32,128,32,128,34961,3,3.038208,23.805952
195,32,128,32,128,35034,3,3.027968,23.787519
196,32,128,32,128,35123,3,3.02592,23.743488
197,32,128,32,128,35203,3,3.03104,23.753729
198,32,128,32,128,35271,3,3.032064,23.757824
199,32,128,32,128,35356,3,3.03616,23.783424
200,32,128,32,128,35434,3,3.024896,23.762943
201,32,128,32,128,35505,3,3.024896,23.771135
202,32,128,32,128,35580,3,3.03616,23.776257
203,32,128,32,128,35663,3,3.037184,23.769089
204,32,128,32,128,35736,3,3.027968,23.775232
205,32,128,32,128,35807,3,3.03104,23.817217
206,32,128,32,128,35883,3,3.042304,23.959553
207,32,128,32,128,35961,3,3.049472,24.000511
208,32,128,32,128,36039,3,3.043328,24.015871
209,32,1149,32,128,36126,3,3.042304,83.624962
210,32,128,32,1149,36060,3,5.633024,24.882175
211,32,128,32,128,36132,3,3.11808,24.470528
212,32,1148,32,128,36205,3,3.057664,82.945023
213,32,1149,32,1148,36150,3,5.630976,86.153214
214,32,3191,32,1149,36089,3,5.68832,213.434372
215,32,1149,32,3191,35782,3,11.01824,85.992447
216,32,1149,32,1149,35724,3,5.634048,84.776962
217,32,3191,32,1149,35661,3,5.586944,209.805313
218,32,3191,32,3191,35331,3,10.933248,210.353149
219,32,2170,32,3191,34987,3,10.927104,149.099518
220,32,2169,32,2170,34777,3,8.446976,149.738495
221,32,2170,32,2169,34627,3,8.48384,151.521286
222,32,128,32,2170,34449,3,8.455168,24.919041
223,32,2170,32,128,34538,3,3.106816,148.598785
224,32,128,32,2170,34328,3,8.329216,24.804352
225,32,2169,32,128,34410,3,3.088384,148.241409
226,32,128,32,2169,34227,3,8.395776,24.842239
227,32,1149,32,128,34316,3,3.10272,84.103165
228,32,3191,32,1149,34268,3,5.629952,210.247681
229,32,128,32,3191,33959,3,10.92096,24.937471
230,32,128,32,128,34044,3,3.0976,24.369152
231,32,128,32,128,34120,3,3.075072,24.013824
232,32,128,32,128,34203,3,3.045376,23.955456
233,32,128,32,128,34271,3,3.0464,23.95648
234,32,1149,32,128,34349,3,3.053568,83.440643
235,32,2170,32,1149,34287,3,5.625856,150.031357
236,32,128,32,2170,34118,3,8.436736,24.89856
237,32,128,32,128,34205,3,3.115008,24.351744
238,32,128,32,128,34286,3,3.060736,24.05888
239,32,128,32,128,34371,3,3.052544,23.914495
240,32,1149,32,128,34448,3,3.037184,83.376129
241,32,128,32,1149,34376,3,5.629952,24.842239
242,32,128,32,128,34449,3,3.094528,24.283136
243,32,128,32,128,34538,3,3.059712,24.020992
244,32,128,32,128,34616,3,3.047424,23.897087
245,32,128,32,128,34698,3,3.044352,23.883776
246,32,128,32,128,34766,3,3.049472,23.912449
247,32,128,32,128,34852,3,3.039232,23.8848
248,32,128,32,128,34926,3,3.0464,23.837696
249,32,128,32,128,35010,3,3.026944,23.761921
250,32,128,32,128,35085,3,3.035136,23.798784
251,32,128,32,128,35156,3,3.038208,23.927809
252,32,128,32,128,35223,3,3.052544,23.958529
253,32,128,32,128,35304,3,3.053568,23.906303
254,32,128,32,128,35397,3,3.039232,23.839745
255,32,128,32,128,35487,3,3.03104,23.775232
256,32,128,32,128,35571,3,3.03616,23.784449
257,32,128,32,128,35653,3,3.030016,23.785473
