step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,32,64,-1,-1,-1,-1,-1,7721.044922
1,32,32,-1,-1,-1,-1,-1,17.08032
2,0,-1,-1,-1,-1,-1,-1,0.004096
3,1,2048,-1,-1,-1,-1,-1,206.070786
4,6,8192,-1,-1,-1,-1,-1,498.936829
5,10,8192,-1,-1,-1,-1,-1,503.495667
6,14,8192,-1,-1,-1,-1,-1,506.866699
7,18,8192,-1,-1,-1,-1,-1,508.799988
8,22,8192,-1,-1,-1,-1,-1,511.065094
9,26,8192,-1,-1,-1,-1,-1,512.801819
10,30,8192,-1,-1,-1,-1,-1,517.300232
11,32,5798,-1,-1,-1,-1,-1,374.902771
12,32,32,-1,-1,-1,-1,-1,21.330944
13,32,32,-1,-1,-1,-1,-1,21.057535
14,32,32,-1,-1,-1,-1,-1,20.964352
15,32,32,-1,-1,-1,-1,-1,20.890623
16,32,32,-1,-1,-1,-1,-1,20.902912
17,32,32,-1,-1,-1,-1,-1,20.91008
18,32,32,-1,-1,-1,-1,-1,20.873217
19,32,32,-1,-1,-1,-1,-1,20.846592
20,32,32,-1,-1,-1,-1,-1,20.825089
21,32,32,-1,-1,-1,-1,-1,20.862976
22,32,32,-1,-1,-1,-1,-1,20.859903
23,32,32,-1,-1,-1,-1,-1,20.876287
24,32,32,-1,-1,-1,-1,-1,20.868095
25,32,32,-1,-1,-1,-1,-1,20.860928
26,32,32,-1,-1,-1,-1,-1,20.878336
27,32,32,-1,-1,-1,-1,-1,20.867071
28,32,32,-1,-1,-1,-1,-1,20.854784
29,32,32,-1,-1,-1,-1,-1,20.858879
30,32,32,-1,-1,-1,-1,-1,20.852736
31,32,32,-1,-1,-1,-1,-1,20.841473
32,32,32,-1,-1,-1,-1,-1,20.852736
33,32,32,-1,-1,-1,-1,-1,20.858879
34,32,32,-1,-1,-1,-1,-1,20.859903
35,32,32,-1,-1,-1,-1,-1,20.855808
36,32,32,-1,-1,-1,-1,-1,20.882433
37,32,32,-1,-1,-1,-1,-1,20.870144
38,32,32,-1,-1,-1,-1,-1,20.885504
39,32,32,-1,-1,-1,-1,-1,20.885504
40,32,32,-1,-1,-1,-1,-1,20.888577
41,32,32,-1,-1,-1,-1,-1,20.876287
42,32,32,-1,-1,-1,-1,-1,20.91008
43,32,32,-1,-1,-1,-1,-1,20.904961
44,32,32,-1,-1,-1,-1,-1,20.888577
45,32,32,-1,-1,-1,-1,-1,20.872192
46,32,32,-1,-1,-1,-1,-1,20.862976
47,32,32,-1,-1,-1,-1,-1,20.878336
48,32,32,-1,-1,-1,-1,-1,20.864
49,32,32,-1,-1,-1,-1,-1,20.883455
50,32,32,-1,-1,-1,-1,-1,20.867071
51,32,32,-1,-1,-1,-1,-1,20.904961
52,32,32,-1,-1,-1,-1,-1,20.895744
53,32,32,-1,-1,-1,-1,-1,20.907007
54,32,32,-1,-1,-1,-1,-1,20.900864
55,32,32,-1,-1,-1,-1,-1,20.899839
56,32,32,-1,-1,-1,-1,-1,20.900864
57,32,32,-1,-1,-1,-1,-1,20.917248
58,32,32,-1,-1,-1,-1,-1,20.908031
59,32,32,-1,-1,-1,-1,-1,20.930559
60,32,32,-1,-1,-1,-1,-1,20.91008
61,32,32,-1,-1,-1,-1,-1,20.908031
62,32,32,-1,-1,-1,-1,-1,20.923391
63,32,32,-1,-1,-1,-1,-1,20.909056
64,32,32,-1,-1,-1,-1,-1,20.922367
65,32,32,-1,-1,-1,-1,-1,20.900864
66,32,32,-1,-1,-1,-1,-1,20.908031
67,32,32,-1,-1,-1,-1,-1,20.923391
68,32,32,-1,-1,-1,-1,-1,20.945921
69,32,32,-1,-1,-1,-1,-1,20.95616
70,32,32,-1,-1,-1,-1,-1,20.923391
71,32,32,-1,-1,-1,-1,-1,20.968449
72,32,32,-1,-1,-1,-1,-1,20.952065
73,32,32,-1,-1,-1,-1,-1,20.960257
74,32,32,-1,-1,-1,-1,-1,20.974592
75,32,32,-1,-1,-1,-1,-1,20.961281
76,32,32,-1,-1,-1,-1,-1,20.95104
77,32,32,-1,-1,-1,-1,-1,20.938751
78,32,32,-1,-1,-1,-1,-1,20.952065
79,32,32,-1,-1,-1,-1,-1,20.952065
80,32,32,-1,-1,-1,-1,-1,20.952065
81,32,32,-1,-1,-1,-1,-1,20.971519
82,32,32,-1,-1,-1,-1,-1,20.969473
83,32,32,-1,-1,-1,-1,-1,20.975616
84,32,32,-1,-1,-1,-1,-1,20.965376
85,32,32,-1,-1,-1,-1,-1,21.020672
86,32,32,-1,-1,-1,-1,-1,20.979712
87,32,32,-1,-1,-1,-1,-1,21.000193
88,32,32,-1,-1,-1,-1,-1,21.016577
89,32,32,-1,-1,-1,-1,-1,21.00736
90,32,32,-1,-1,-1,-1,-1,20.993025
91,32,32,-1,-1,-1,-1,-1,21.011456
92,32,32,-1,-1,-1,-1,-1,20.988928
93,32,32,-1,-1,-1,-1,-1,21.018623
94,32,32,-1,-1,-1,-1,-1,21.005312
95,32,32,-1,-1,-1,-1,-1,21.009409
96,32,32,-1,-1,-1,-1,-1,20.993025
97,32,32,-1,-1,-1,-1,-1,21.021696
98,32,32,-1,-1,-1,-1,-1,21.009409
99,32,32,-1,-1,-1,-1,-1,20.994047
100,32,32,-1,-1,-1,-1,-1,21.0432
101,32,32,-1,-1,-1,-1,-1,21.041151
102,32,32,-1,-1,-1,-1,-1,21.023745
103,32,32,-1,-1,-1,-1,-1,21.059584
104,32,32,-1,-1,-1,-1,-1,21.020672
105,32,32,-1,-1,-1,-1,-1,21.037056
106,32,32,-1,-1,-1,-1,-1,21.02272
107,32,32,-1,-1,-1,-1,-1,21.051392
108,32,32,-1,-1,-1,-1,-1,21.046272
109,32,32,-1,-1,-1,-1,-1,21.030912
110,32,32,-1,-1,-1,-1,-1,21.025791
111,32,32,-1,-1,-1,-1,-1,21.028864
112,32,32,-1,-1,-1,-1,-1,21.030912
113,32,32,-1,-1,-1,-1,-1,21.047297
114,32,32,-1,-1,-1,-1,-1,21.042175
115,32,32,-1,-1,-1,-1,-1,21.044224
116,32,32,-1,-1,-1,-1,-1,21.071873
117,32,32,-1,-1,-1,-1,-1,21.082111
118,32,32,-1,-1,-1,-1,-1,21.081087
119,32,2064,-1,-1,-1,-1,-1,152.984573
120,32,32,-1,-1,-1,-1,-1,21.43232
121,32,4096,-1,-1,-1,-1,-1,268.950531
122,32,32,-1,-1,-1,-1,-1,21.414911
123,32,32,-1,-1,-1,-1,-1,21.293056
124,32,4096,-1,-1,-1,-1,-1,268.526581
125,32,6128,-1,-1,-1,-1,-1,396.887054
126,32,32,-1,-1,-1,-1,-1,21.445633
127,32,32,-1,-1,-1,-1,-1,21.408768
128,32,6127,-1,-1,-1,-1,-1,395.517944
129,32,6128,-1,-1,-1,-1,-1,396.22757
130,32,8192,-1,-1,-1,-1,-1,520.712219
131,32,4062,-1,-1,-1,-1,-1,269.956085
132,32,2064,-1,-1,-1,-1,-1,155.700226
133,32,2064,-1,-1,-1,-1,-1,154.472443
134,32,4095,-1,-1,-1,-1,-1,271.540222
135,32,4096,-1,-1,-1,-1,-1,270.974976
136,32,32,-1,-1,-1,-1,-1,21.225471
137,32,32,-1,-1,-1,-1,-1,21.056513
138,32,32,-1,-1,-1,-1,-1,20.995071
139,32,32,-1,-1,-1,-1,-1,20.975616
140,32,2064,-1,-1,-1,-1,-1,152.961029
141,32,4095,-1,-1,-1,-1,-1,269.591553
142,32,32,-1,-1,-1,-1,-1,21.25824
143,32,32,-1,-1,-1,-1,-1,21.097471
144,32,32,-1,-1,-1,-1,-1,21.0688
145,32,32,-1,-1,-1,-1,-1,20.955135
