step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,step_ms
0,32,160,-1,-1,-1,-1,-1,635.02948
1,32,128,-1,-1,-1,-1,-1,474.398712
2,0,-1,-1,-1,-1,-1,-1,0.004096
3,1,2048,-1,-1,-1,-1,-1,164.46669
4,5,8192,-1,-1,-1,-1,-1,497.768463
5,9,8192,-1,-1,-1,-1,-1,504.137726
6,13,8192,-1,-1,-1,-1,-1,505.261047
7,17,8192,-1,-1,-1,-1,-1,507.965454
8,21,8192,-1,-1,-1,-1,-1,509.718536
9,25,8192,-1,-1,-1,-1,-1,513.564697
10,29,8192,-1,-1,-1,-1,-1,513.567749
11,32,6626,-1,-1,-1,-1,-1,423.349243
12,32,128,-1,-1,-1,-1,-1,31.086592
13,32,128,-1,-1,-1,-1,-1,30.196735
14,32,128,-1,-1,-1,-1,-1,29.981695
15,32,128,-1,-1,-1,-1,-1,29.948929
16,32,128,-1,-1,-1,-1,-1,29.789185
17,32,128,-1,-1,-1,-1,-1,29.771776
18,32,128,-1,-1,-1,-1,-1,29.742081
19,32,128,-1,-1,-1,-1,-1,29.7728
20,32,128,-1,-1,-1,-1,-1,29.768703
21,32,128,-1,-1,-1,-1,-1,29.753344
22,32,128,-1,-1,-1,-1,-1,29.776896
23,32,128,-1,-1,-1,-1,-1,29.779968
24,32,128,-1,-1,-1,-1,-1,29.765633
25,32,128,-1,-1,-1,-1,-1,29.770752
26,32,128,-1,-1,-1,-1,-1,29.795328
27,32,128,-1,-1,-1,-1,-1,29.789185
28,32,128,-1,-1,-1,-1,-1,29.77792
29,32,128,-1,-1,-1,-1,-1,29.784063
30,32,128,-1,-1,-1,-1,-1,29.799423
31,32,128,-1,-1,-1,-1,-1,29.804544
32,32,128,-1,-1,-1,-1,-1,29.776896
33,32,128,-1,-1,-1,-1,-1,29.768703
34,32,128,-1,-1,-1,-1,-1,29.790209
35,32,128,-1,-1,-1,-1,-1,29.778944
36,32,128,-1,-1,-1,-1,-1,29.815807
37,32,128,-1,-1,-1,-1,-1,29.77792
38,32,128,-1,-1,-1,-1,-1,29.816832
39,32,128,-1,-1,-1,-1,-1,29.797377
40,32,128,-1,-1,-1,-1,-1,29.971457
41,32,128,-1,-1,-1,-1,-1,30.024704
42,32,128,-1,-1,-1,-1,-1,29.944832
43,32,128,-1,-1,-1,-1,-1,29.838337
44,32,128,-1,-1,-1,-1,-1,29.867008
45,32,128,-1,-1,-1,-1,-1,29.853697
46,32,128,-1,-1,-1,-1,-1,29.86496
47,32,128,-1,-1,-1,-1,-1,29.831167
48,32,2173,-1,-1,-1,-1,-1,156.468231
49,32,128,-1,-1,-1,-1,-1,30.934015
50,32,128,-1,-1,-1,-1,-1,30.308352
51,32,128,-1,-1,-1,-1,-1,30.044161
52,32,128,-1,-1,-1,-1,-1,30.045183
53,32,128,-1,-1,-1,-1,-1,29.943808
54,32,128,-1,-1,-1,-1,-1,29.911039
55,32,6263,-1,-1,-1,-1,-1,407.228424
56,32,6263,-1,-1,-1,-1,-1,410.711029
57,32,2173,-1,-1,-1,-1,-1,157.865982
58,32,2173,-1,-1,-1,-1,-1,156.275711
59,32,4217,-1,-1,-1,-1,-1,280.996857
60,32,6263,-1,-1,-1,-1,-1,411.32135
61,31,8192,-1,-1,-1,-1,-1,517.660645
62,32,4325,-1,-1,-1,-1,-1,294.099976
63,32,6263,-1,-1,-1,-1,-1,410.418182
64,32,2172,-1,-1,-1,-1,-1,155.752441
65,32,128,-1,-1,-1,-1,-1,30.794752
66,32,6263,-1,-1,-1,-1,-1,408.453125
67,32,4217,-1,-1,-1,-1,-1,283.056122
68,32,2173,-1,-1,-1,-1,-1,156.19072
69,32,128,-1,-1,-1,-1,-1,30.869505
70,32,2173,-1,-1,-1,-1,-1,155.687943
71,32,128,-1,-1,-1,-1,-1,30.71488
72,32,2173,-1,-1,-1,-1,-1,155.824127
73,32,128,-1,-1,-1,-1,-1,30.94528
74,32,128,-1,-1,-1,-1,-1,30.324736
75,32,128,-1,-1,-1,-1,-1,29.971457
76,32,128,-1,-1,-1,-1,-1,29.947905
77,32,128,-1,-1,-1,-1,-1,29.9776
78,32,128,-1,-1,-1,-1,-1,29.991936
79,32,128,-1,-1,-1,-1,-1,29.837313
80,32,128,-1,-1,-1,-1,-1,29.786112
81,32,128,-1,-1,-1,-1,-1,29.99296
82,32,128,-1,-1,-1,-1,-1,29.998079
83,32,128,-1,-1,-1,-1,-1,29.893633
84,32,128,-1,-1,-1,-1,-1,29.96736
85,32,128,-1,-1,-1,-1,-1,29.947905
86,32,128,-1,-1,-1,-1,-1,30.001152
87,32,128,-1,-1,-1,-1,-1,29.99296
88,32,128,-1,-1,-1,-1,-1,29.997055
89,32,128,-1,-1,-1,-1,-1,30.02368
90,32,128,-1,-1,-1,-1,-1,29.972481
91,32,128,-1,-1,-1,-1,-1,30.013439
92,32,128,-1,-1,-1,-1,-1,30.001152
93,32,128,-1,-1,-1,-1,-1,30.020609
94,32,128,-1,-1,-1,-1,-1,29.986816
95,32,128,-1,-1,-1,-1,-1,30.010368
96,32,128,-1,-1,-1,-1,-1,30.00832
97,32,128,-1,-1,-1,-1,-1,30.025728
98,32,128,-1,-1,-1,-1,-1,30.028799
99,32,128,-1,-1,-1,-1,-1,30.020609
100,32,2172,-1,-1,-1,-1,-1,154.921982
101,32,128,-1,-1,-1,-1,-1,30.839808
102,32,2173,-1,-1,-1,-1,-1,155.658234
103,32,128,-1,-1,-1,-1,-1,30.825472
104,32,128,-1,-1,-1,-1,-1,30.298113
105,32,128,-1,-1,-1,-1,-1,30.25408
106,32,2173,-1,-1,-1,-1,-1,155.673599
107,32,2173,-1,-1,-1,-1,-1,157.702148
108,32,128,-1,-1,-1,-1,-1,31.040512
109,32,2173,-1,-1,-1,-1,-1,156.012543
