step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,64,320,-1,-1,-1,-1,-1,36.180992,1,109.911041
1,64,256,-1,-1,-1,-1,-1,27.196417,1,33.487873
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,1025,-1,-1,-1,-1,-1,-1,0,92.555267
4,9,8192,-1,-1,-1,-1,-1,-1,0,552.139771
5,17,8192,-1,-1,-1,-1,-1,-1,0,489.803772
6,25,8192,-1,-1,-1,-1,-1,-1,0,495.686646
7,33,8192,-1,-1,-1,-1,-1,-1,0,496.308228
8,41,8192,-1,-1,-1,-1,-1,-1,0,499.567627
9,49,8192,-1,-1,-1,-1,-1,-1,0,502.66214
10,57,8192,-1,-1,-1,-1,-1,-1,0,505.894897
11,64,8121,-1,-1,-1,-1,-1,-1,0,507.616241
12,64,256,-1,-1,-1,-1,-1,37.238785,1,37.307392
13,64,256,-1,-1,-1,-1,-1,36.626431,1,36.695042
14,64,256,-1,-1,-1,-1,-1,36.324352,1,36.395008
15,64,256,-1,-1,-1,-1,-1,36.270081,1,36.338688
16,64,256,-1,-1,-1,-1,-1,36.260864,1,36.329472
17,64,256,-1,-1,-1,-1,-1,36.291584,1,36.36224
18,64,256,-1,-1,-1,-1,-1,36.312065,1,36.371456
19,64,256,-1,-1,-1,-1,-1,36.310017,1,36.379646
20,64,256,-1,-1,-1,-1,-1,36.324352,1,36.393986
21,64,256,-1,-1,-1,-1,-1,36.589569,1,36.661247
22,64,256,-1,-1,-1,-1,-1,36.639744,1,36.711426
23,64,256,-1,-1,-1,-1,-1,36.647938,1,36.718594
24,64,256,-1,-1,-1,-1,-1,36.637695,1,36.700161
25,64,256,-1,-1,-1,-1,-1,36.41037,1,36.478977
26,64,256,-1,-1,-1,-1,-1,36.425728,1,36.494335
27,64,256,-1,-1,-1,-1,-1,36.44109,1,36.510719
28,64,256,-1,-1,-1,-1,-1,36.440063,1,36.508671
29,64,256,-1,-1,-1,-1,-1,36.473858,1,36.535297
30,64,256,-1,-1,-1,-1,-1,36.504578,1,36.566017
31,64,256,-1,-1,-1,-1,-1,36.527103,1,36.595711
32,64,256,-1,-1,-1,-1,-1,36.580353,1,36.649982
33,64,256,-1,-1,-1,-1,-1,36.83123,1,36.902912
34,64,256,-1,-1,-1,-1,-1,36.951038,1,37.011456
35,64,256,-1,-1,-1,-1,-1,37.31456,1,37.374977
36,64,256,-1,-1,-1,-1,-1,37.123074,1,37.191681
37,64,256,-1,-1,-1,-1,-1,36.862976,1,36.925442
38,64,256,-1,-1,-1,-1,-1,36.709377,1,36.779007
39,64,256,-1,-1,-1,-1,-1,36.7104,1,36.779007
40,64,256,-1,-1,-1,-1,-1,36.714497,1,36.782082
41,64,256,-1,-1,-1,-1,-1,36.72781,1,36.796417
42,64,256,-1,-1,-1,-1,-1,36.748287,1,36.809727
43,64,256,-1,-1,-1,-1,-1,37.039104,1,37.108734
44,64,256,-1,-1,-1,-1,-1,37.07597,1,37.137409
45,64,256,-1,-1,-1,-1,-1,37.089279,1,37.164032
46,64,256,-1,-1,-1,-1,-1,37.104641,1,37.16608
47,64,256,-1,-1,-1,-1,-1,36.899841,1,36.960255
48,64,256,-1,-1,-1,-1,-1,37.014526,1,37.085182
49,64,256,-1,-1,-1,-1,-1,37.06163,1,37.131264
50,64,256,-1,-1,-1,-1,-1,37.100544,1,37.170177
51,64,256,-1,-1,-1,-1,-1,37.232639,1,37.301247
52,64,3319,-1,-1,-1,-1,-1,-1,0,219.461639
53,64,1277,-1,-1,-1,-1,-1,-1,0,105.325569
54,64,2298,-1,-1,-1,-1,-1,-1,0,161.690628
55,64,5359,-1,-1,-1,-1,-1,-1,0,347.581451
56,64,3319,-1,-1,-1,-1,-1,-1,0,219.531265
57,64,1277,-1,-1,-1,-1,-1,-1,0,103.817215
58,64,4340,-1,-1,-1,-1,-1,-1,0,290.619385
59,64,6379,-1,-1,-1,-1,-1,-1,0,404.085754
60,64,5361,-1,-1,-1,-1,-1,-1,0,348.380157
61,64,4340,-1,-1,-1,-1,-1,-1,0,290.300934
62,64,7401,-1,-1,-1,-1,-1,-1,0,463.826935
63,64,5361,-1,-1,-1,-1,-1,-1,0,349.147125
64,64,3319,-1,-1,-1,-1,-1,-1,0,219.351044
65,64,4339,-1,-1,-1,-1,-1,-1,0,289.523712
66,64,2297,-1,-1,-1,-1,-1,-1,0,160.709625
67,64,256,-1,-1,-1,-1,-1,37.091328,1,37.16301
68,64,1276,-1,-1,-1,-1,-1,-1,0,101.787651
69,64,2297,-1,-1,-1,-1,-1,-1,0,160.458755
70,64,2298,-1,-1,-1,-1,-1,-1,0,161.534973
71,64,256,-1,-1,-1,-1,-1,37.273602,1,37.344257
72,64,2298,-1,-1,-1,-1,-1,-1,0,160.442368
73,64,1277,-1,-1,-1,-1,-1,-1,0,102.152191
74,64,256,-1,-1,-1,-1,-1,36.822018,1,36.890625
75,64,256,-1,-1,-1,-1,-1,36.71347,1,36.775936
76,64,1277,-1,-1,-1,-1,-1,-1,0,102.308861
77,64,256,-1,-1,-1,-1,-1,36.610046,1,36.680702
78,64,256,-1,-1,-1,-1,-1,36.365311,1,36.433922
79,64,256,-1,-1,-1,-1,-1,36.397057,1,36.458496
80,64,256,-1,-1,-1,-1,-1,36.385792,1,36.455425
81,64,256,-1,-1,-1,-1,-1,36.319233,1,36.406273
82,64,256,-1,-1,-1,-1,-1,36.630527,1,36.700161
83,64,256,-1,-1,-1,-1,-1,36.67149,1,36.731903
84,64,256,-1,-1,-1,-1,-1,36.808704,1,36.870144
85,64,256,-1,-1,-1,-1,-1,36.849663,1,36.929535
86,64,256,-1,-1,-1,-1,-1,36.715519,1,36.789249
87,64,256,-1,-1,-1,-1,-1,36.72781,1,36.799488
88,64,256,-1,-1,-1,-1,-1,36.70528,1,36.790272
89,64,256,-1,-1,-1,-1,-1,36.755455,1,36.815872
90,64,256,-1,-1,-1,-1,-1,36.597759,1,36.659199
91,64,256,-1,-1,-1,-1,-1,36.639744,1,36.708351
92,64,256,-1,-1,-1,-1,-1,36.79744,1,36.858879
93,64,256,-1,-1,-1,-1,-1,36.815872,1,36.886528
94,64,256,-1,-1,-1,-1,-1,36.867073,1,36.93568
95,64,256,-1,-1,-1,-1,-1,36.891647,1,36.960255
96,64,256,-1,-1,-1,-1,-1,36.890625,1,36.952065
97,64,256,-1,-1,-1,-1,-1,36.93568,1,36.995071
98,64,256,-1,-1,-1,-1,-1,36.994049,1,37.063679
