step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,128,256,-1,-1,-1,-1,-1,38.141953,1,104.381439
1,128,128,-1,-1,-1,-1,-1,19.759104,1,21.325825
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.00512
3,1,1025,-1,-1,-1,-1,-1,-1,0,100.223999
4,10,8192,-1,-1,-1,-1,-1,-1,0,496.108551
5,18,8192,-1,-1,-1,-1,-1,-1,0,490.174469
6,26,8192,-1,-1,-1,-1,-1,-1,0,493.975555
7,34,8192,-1,-1,-1,-1,-1,-1,0,497.009674
8,42,8192,-1,-1,-1,-1,-1,-1,0,500.363251
9,50,8192,-1,-1,-1,-1,-1,-1,0,502.634491
10,58,8192,-1,-1,-1,-1,-1,-1,0,506.719238
11,66,8192,-1,-1,-1,-1,-1,-1,0,508.610565
12,74,8192,-1,-1,-1,-1,-1,-1,0,512.295959
13,82,8192,-1,-1,-1,-1,-1,-1,0,514.616333
14,90,8192,-1,-1,-1,-1,-1,-1,0,517.011475
15,98,8192,-1,-1,-1,-1,-1,-1,0,521.810974
16,106,8192,-1,-1,-1,-1,-1,-1,0,522.55127
17,114,8192,-1,-1,-1,-1,-1,-1,0,528.024597
18,122,8192,-1,-1,-1,-1,-1,-1,0,530.209778
19,128,6218,-1,-1,-1,-1,-1,-1,0,425.503754
20,128,128,-1,-1,-1,-1,-1,29.628416,1,29.698048
21,128,128,-1,-1,-1,-1,-1,29.320192,1,29.381632
22,128,128,-1,-1,-1,-1,-1,29.217793,1,29.288448
23,128,128,-1,-1,-1,-1,-1,29.2096,1,29.279232
24,128,128,-1,-1,-1,-1,-1,29.196287,1,29.256704
25,128,128,-1,-1,-1,-1,-1,29.111296,1,29.179905
26,128,128,-1,-1,-1,-1,-1,29.095936,1,29.164543
27,128,128,-1,-1,-1,-1,-1,29.12768,1,29.196287
28,128,128,-1,-1,-1,-1,-1,29.115393,1,29.186049
29,128,128,-1,-1,-1,-1,-1,29.09696,1,29.167616
30,128,128,-1,-1,-1,-1,-1,29.140991,1,29.202433
31,128,128,-1,-1,-1,-1,-1,29.154305,1,29.215744
32,128,128,-1,-1,-1,-1,-1,29.126656,1,29.195265
33,128,128,-1,-1,-1,-1,-1,29.149183,1,29.219839
34,128,128,-1,-1,-1,-1,-1,29.174784,1,29.243393
35,128,128,-1,-1,-1,-1,-1,29.167616,1,29.239296
36,128,128,-1,-1,-1,-1,-1,29.215744,1,29.2864
37,128,128,-1,-1,-1,-1,-1,29.2096,1,29.279232
38,128,128,-1,-1,-1,-1,-1,29.186049,1,29.258753
39,128,128,-1,-1,-1,-1,-1,29.231104,1,29.299711
40,128,128,-1,-1,-1,-1,-1,29.212671,1,29.282305
41,128,128,-1,-1,-1,-1,-1,29.259775,1,29.331455
42,128,128,-1,-1,-1,-1,-1,29.256704,1,29.32736
43,128,128,-1,-1,-1,-1,-1,29.24544,1,29.305857
44,128,128,-1,-1,-1,-1,-1,29.277184,1,29.339647
45,128,128,-1,-1,-1,-1,-1,29.299711,1,29.36832
46,128,128,-1,-1,-1,-1,-1,29.297665,1,29.36832
47,128,128,-1,-1,-1,-1,-1,29.278208,1,29.348864
48,128,128,-1,-1,-1,-1,-1,29.297665,1,29.36832
49,128,128,-1,-1,-1,-1,-1,29.321217,1,29.390848
50,128,128,-1,-1,-1,-1,-1,29.304832,1,29.372416
51,128,128,-1,-1,-1,-1,-1,29.316095,1,29.385729
52,128,128,-1,-1,-1,-1,-1,29.303808,1,29.372416
53,128,128,-1,-1,-1,-1,-1,29.32736,1,29.387775
54,128,128,-1,-1,-1,-1,-1,29.357056,1,29.427711
55,128,128,-1,-1,-1,-1,-1,29.369345,1,29.438976
56,128,128,-1,-1,-1,-1,-1,29.380608,1,29.443071
57,128,128,-1,-1,-1,-1,-1,29.394943,1,29.464577
58,128,128,-1,-1,-1,-1,-1,29.390848,1,29.46048
59,128,128,-1,-1,-1,-1,-1,29.408257,1,29.476864
60,128,128,-1,-1,-1,-1,-1,29.407232,1,29.477888
61,128,128,-1,-1,-1,-1,-1,29.42976,1,29.499392
62,128,128,-1,-1,-1,-1,-1,29.440001,1,29.509632
63,128,128,-1,-1,-1,-1,-1,29.442047,1,29.512705
64,128,128,-1,-1,-1,-1,-1,29.438976,1,29.506559
65,128,128,-1,-1,-1,-1,-1,29.483007,1,29.552641
66,128,128,-1,-1,-1,-1,-1,29.46048,1,29.531136
67,128,128,-1,-1,-1,-1,-1,29.468672,1,29.538303
68,128,128,-1,-1,-1,-1,-1,29.48608,1,29.548544
69,128,128,-1,-1,-1,-1,-1,29.502464,1,29.57312
70,128,128,-1,-1,-1,-1,-1,29.512705,1,29.582336
71,128,128,-1,-1,-1,-1,-1,29.506559,1,29.577215
72,128,128,-1,-1,-1,-1,-1,29.549568,1,29.6192
73,128,128,-1,-1,-1,-1,-1,29.53216,1,29.602816
74,128,128,-1,-1,-1,-1,-1,29.550592,1,29.620224
75,128,128,-1,-1,-1,-1,-1,29.57312,1,29.642752
76,128,128,-1,-1,-1,-1,-1,29.551617,1,29.621248
77,128,128,-1,-1,-1,-1,-1,29.600767,1,29.671425
78,128,128,-1,-1,-1,-1,-1,29.628416,1,29.697023
79,128,128,-1,-1,-1,-1,-1,29.627392,1,29.697023
80,128,128,-1,-1,-1,-1,-1,29.631489,1,29.702145
81,128,128,-1,-1,-1,-1,-1,29.631489,1,29.702145
82,128,128,-1,-1,-1,-1,-1,29.643776,1,29.711361
83,128,128,-1,-1,-1,-1,-1,29.674496,1,29.745152
84,128,128,-1,-1,-1,-1,-1,29.667328,1,29.736959
85,128,128,-1,-1,-1,-1,-1,29.692928,1,29.763584
86,128,128,-1,-1,-1,-1,-1,29.691904,1,29.763584
87,128,128,-1,-1,-1,-1,-1,29.708288,1,29.775871
88,128,128,-1,-1,-1,-1,-1,29.745152,1,29.815807
89,128,128,-1,-1,-1,-1,-1,29.737984,1,29.807615
90,128,128,-1,-1,-1,-1,-1,29.755392,1,29.825024
91,128,128,-1,-1,-1,-1,-1,29.757441,1,29.825024
92,128,128,-1,-1,-1,-1,-1,29.751295,1,29.820929
93,128,128,-1,-1,-1,-1,-1,29.779968,1,29.850624
94,128,128,-1,-1,-1,-1,-1,29.804544,1,29.874176
95,128,128,-1,-1,-1,-1,-1,29.813761,1,29.884417
96,128,128,-1,-1,-1,-1,-1,29.807615,1,29.876225
97,128,128,-1,-1,-1,-1,-1,29.861889,1,29.933567
98,128,128,-1,-1,-1,-1,-1,29.83424,1,29.895679
99,128,128,-1,-1,-1,-1,-1,29.845505,1,29.916161
100,128,128,-1,-1,-1,-1,-1,29.838337,1,29.906944
101,128,128,-1,-1,-1,-1,-1,29.869057,1,29.939713
102,128,128,-1,-1,-1,-1,-1,29.899776,1,29.969408
103,128,128,-1,-1,-1,-1,-1,29.901825,1,29.970432
104,128,128,-1,-1,-1,-1,-1,29.926399,1,29.997055
105,128,128,-1,-1,-1,-1,-1,29.916161,1,29.984768
106,128,128,-1,-1,-1,-1,-1,29.928448,1,29.998079
107,128,128,-1,-1,-1,-1,-1,29.945856,1,30.013439
108,128,128,-1,-1,-1,-1,-1,29.957121,1,30.026752
109,128,128,-1,-1,-1,-1,-1,29.963264,1,30.02368
110,128,128,-1,-1,-1,-1,-1,29.989887,1,30.058496
111,128,128,-1,-1,-1,-1,-1,29.997055,1,30.066689
112,128,128,-1,-1,-1,-1,-1,30.00832,1,30.071808
113,128,128,-1,-1,-1,-1,-1,30.041088,1,30.109695
114,128,128,-1,-1,-1,-1,-1,30.042112,1,30.109695
115,128,128,-1,-1,-1,-1,-1,30.054399,1,30.12608
116,128,128,-1,-1,-1,-1,-1,30.053375,1,30.12096
117,128,1136,-1,-1,-1,-1,-1,-1,0,123.110397
118,128,128,-1,-1,-1,-1,-1,30.345217,1,30.415873
119,128,1135,-1,-1,-1,-1,-1,-1,0,123.465729
120,128,1136,-1,-1,-1,-1,-1,-1,0,123.986946
121,128,128,-1,-1,-1,-1,-1,30.314495,1,30.385153
122,128,3152,-1,-1,-1,-1,-1,-1,0,241.396729
123,128,2144,-1,-1,-1,-1,-1,-1,0,185.690109
124,128,2144,-1,-1,-1,-1,-1,-1,0,186.144775
125,128,128,-1,-1,-1,-1,-1,30.411776,1,30.483456
126,128,5168,-1,-1,-1,-1,-1,-1,0,368.253937
127,128,4159,-1,-1,-1,-1,-1,-1,0,305.479675
128,128,128,-1,-1,-1,-1,-1,30.445568,1,30.518272
129,128,3152,-1,-1,-1,-1,-1,-1,0,243.254272
130,128,1135,-1,-1,-1,-1,-1,-1,0,124.583939
131,128,4160,-1,-1,-1,-1,-1,-1,0,303.845367
132,128,5168,-1,-1,-1,-1,-1,-1,0,370.664459
133,128,4158,-1,-1,-1,-1,-1,-1,0,307.02182
134,128,5167,-1,-1,-1,-1,-1,-1,0,369.635315
135,128,6176,-1,-1,-1,-1,-1,-1,0,428.77951
136,128,8192,-1,-1,-1,-1,-1,-1,0,537.191406
137,128,6176,-1,-1,-1,-1,-1,-1,0,426.330109
138,128,6174,-1,-1,-1,-1,-1,-1,0,429.083649
139,128,4159,-1,-1,-1,-1,-1,-1,0,305.626099
140,128,7183,-1,-1,-1,-1,-1,-1,0,484.925446
141,128,3152,-1,-1,-1,-1,-1,-1,0,240.880646
142,128,5168,-1,-1,-1,-1,-1,-1,0,370.586609
143,128,4159,-1,-1,-1,-1,-1,-1,0,304.568329
144,128,3152,-1,-1,-1,-1,-1,-1,0,242.006012
145,128,4159,-1,-1,-1,-1,-1,-1,0,303.406067
146,128,6176,-1,-1,-1,-1,-1,-1,0,426.578949
147,128,4159,-1,-1,-1,-1,-1,-1,0,304.910339
148,128,2143,-1,-1,-1,-1,-1,-1,0,182.877182
149,128,2143,-1,-1,-1,-1,-1,-1,0,182.23616
150,128,1136,-1,-1,-1,-1,-1,-1,0,121.411583
151,128,3152,-1,-1,-1,-1,-1,-1,0,239.333374
152,128,4159,-1,-1,-1,-1,-1,-1,0,304.108551
153,128,2143,-1,-1,-1,-1,-1,-1,0,182.645767
154,128,128,-1,-1,-1,-1,-1,29.620224,1,29.691904
155,128,1136,-1,-1,-1,-1,-1,-1,0,120.164352
156,128,128,-1,-1,-1,-1,-1,29.5168,1,29.587456
157,128,128,-1,-1,-1,-1,-1,29.366272,1,29.434879
158,128,2144,-1,-1,-1,-1,-1,-1,0,180.753403
159,128,128,-1,-1,-1,-1,-1,29.611008,1,29.679617
160,128,128,-1,-1,-1,-1,-1,29.434879,1,29.503489
161,128,1120,-1,-1,-1,-1,-1,-1,0,119.864319
162,128,1136,-1,-1,-1,-1,-1,-1,0,120.771584
163,128,128,-1,-1,-1,-1,-1,29.533184,1,29.595648
164,128,128,-1,-1,-1,-1,-1,29.380608,1,29.450239
165,128,128,-1,-1,-1,-1,-1,29.35808,1,29.426687
166,128,128,-1,-1,-1,-1,-1,29.390848,1,29.461504
167,128,1136,-1,-1,-1,-1,-1,-1,0,120.249344
168,128,128,-1,-1,-1,-1,-1,29.540352,1,29.613056
169,128,128,-1,-1,-1,-1,-1,29.391872,1,29.461504
170,128,128,-1,-1,-1,-1,-1,29.375488,1,29.446144
171,128,128,-1,-1,-1,-1,-1,29.401089,1,29.472769
172,128,128,-1,-1,-1,-1,-1,29.312,1,29.382656
173,128,128,-1,-1,-1,-1,-1,29.344769,1,29.4144
174,128,1136,-1,-1,-1,-1,-1,-1,0,120.575996
175,128,128,-1,-1,-1,-1,-1,29.601791,1,29.670401
176,128,128,-1,-1,-1,-1,-1,29.443071,1,29.505535
177,128,128,-1,-1,-1,-1,-1,29.427711,1,29.498367
178,128,128,-1,-1,-1,-1,-1,29.409281,1,29.472769
179,128,128,-1,-1,-1,-1,-1,29.376513,1,29.447168
180,128,128,-1,-1,-1,-1,-1,29.379583,1,29.449217
181,128,128,-1,-1,-1,-1,-1,29.392897,1,29.462528
182,128,128,-1,-1,-1,-1,-1,29.394943,1,29.466623
183,128,128,-1,-1,-1,-1,-1,29.398016,1,29.468672
184,128,128,-1,-1,-1,-1,-1,29.390848,1,29.46048
185,128,128,-1,-1,-1,-1,-1,29.421568,1,29.492224
186,128,128,-1,-1,-1,-1,-1,29.426687,1,29.495296
187,128,128,-1,-1,-1,-1,-1,29.436928,1,29.504513
188,128,128,-1,-1,-1,-1,-1,29.438976,1,29.509632
189,128,128,-1,-1,-1,-1,-1,29.459455,1,29.529087
190,128,128,-1,-1,-1,-1,-1,29.483007,1,29.551617
191,128,128,-1,-1,-1,-1,-1,29.47584,1,29.545471
192,128,128,-1,-1,-1,-1,-1,29.489153,1,29.558784
193,128,128,-1,-1,-1,-1,-1,29.452288,1,29.511681
194,128,128,-1,-1,-1,-1,-1,29.489153,1,29.560831
195,128,128,-1,-1,-1,-1,-1,29.543425,1,29.613056
