step,sched_reqs,sched_tokens,batch,num_query_tokens,sum_seq_len,num_spec_tokens,draft_ms,target_fwd_ms,n_target_fwd,step_ms
0,32,64,-1,-1,-1,-1,-1,24.690687,1,4408.458008
1,32,32,-1,-1,-1,-1,-1,15.404032,1,17.000448
2,0,-1,-1,-1,-1,-1,-1,-1,0,0.004096
3,1,1025,-1,-1,-1,-1,-1,-1,0,114.343933
4,10,8192,-1,-1,-1,-1,-1,-1,0,502.863861
5,18,8192,-1,-1,-1,-1,-1,-1,0,490.728455
6,26,8192,-1,-1,-1,-1,-1,-1,0,493.191162
7,32,6749,-1,-1,-1,-1,-1,-1,0,412.255219
8,32,32,-1,-1,-1,-1,-1,17.526785,1,17.596416
9,32,32,-1,-1,-1,-1,-1,17.306623,1,17.350657
10,32,32,-1,-1,-1,-1,-1,17.2544,1,17.299456
11,32,32,-1,-1,-1,-1,-1,17.207296,1,17.252352
12,32,32,-1,-1,-1,-1,-1,17.191936,1,17.236992
13,32,32,-1,-1,-1,-1,-1,17.189888,1,17.232897
14,32,32,-1,-1,-1,-1,-1,17.190912,1,17.234943
15,32,32,-1,-1,-1,-1,-1,17.189888,1,17.233919
16,32,32,-1,-1,-1,-1,-1,17.139711,1,17.185793
17,32,32,-1,-1,-1,-1,-1,17.130495,1,17.175552
18,32,32,-1,-1,-1,-1,-1,17.132544,1,17.176577
19,32,32,-1,-1,-1,-1,-1,17.131519,1,17.197056
20,32,32,-1,-1,-1,-1,-1,17.147903,1,17.214464
21,32,32,-1,-1,-1,-1,-1,17.130495,1,17.19808
22,32,32,-1,-1,-1,-1,-1,17.143808,1,17.202175
23,32,32,-1,-1,-1,-1,-1,17.143808,1,17.212416
24,32,32,-1,-1,-1,-1,-1,17.148928,1,17.215488
25,32,32,-1,-1,-1,-1,-1,17.156096,1,17.200129
26,32,32,-1,-1,-1,-1,-1,17.144833,1,17.18784
27,32,32,-1,-1,-1,-1,-1,17.156096,1,17.199104
28,32,32,-1,-1,-1,-1,-1,17.14176,1,17.185793
29,32,32,-1,-1,-1,-1,-1,17.14176,1,17.184769
30,32,32,-1,-1,-1,-1,-1,17.144833,1,17.189888
31,32,32,-1,-1,-1,-1,-1,17.137665,1,17.180672
32,32,32,-1,-1,-1,-1,-1,17.15712,1,17.202175
33,32,32,-1,-1,-1,-1,-1,17.156096,1,17.200129
34,32,32,-1,-1,-1,-1,-1,17.150976,1,17.193983
35,32,32,-1,-1,-1,-1,-1,17.153025,1,17.217537
36,32,32,-1,-1,-1,-1,-1,17.156096,1,17.224705
37,32,32,-1,-1,-1,-1,-1,17.16736,1,17.226751
38,32,32,-1,-1,-1,-1,-1,17.161217,1,17.2288
39,32,32,-1,-1,-1,-1,-1,17.150976,1,17.218559
40,32,32,-1,-1,-1,-1,-1,17.161217,1,17.227776
41,32,32,-1,-1,-1,-1,-1,17.163263,1,17.207296
42,32,32,-1,-1,-1,-1,-1,17.175552,1,17.220608
43,32,32,-1,-1,-1,-1,-1,17.175552,1,17.219584
44,32,32,-1,-1,-1,-1,-1,17.163263,1,17.208321
45,32,32,-1,-1,-1,-1,-1,17.163263,1,17.207296
46,32,32,-1,-1,-1,-1,-1,17.166336,1,17.211391
47,32,32,-1,-1,-1,-1,-1,17.16736,1,17.212416
48,32,32,-1,-1,-1,-1,-1,17.179647,1,17.22368
49,32,32,-1,-1,-1,-1,-1,17.17248,1,17.221632
50,32,32,-1,-1,-1,-1,-1,17.185793,1,17.2288
51,32,32,-1,-1,-1,-1,-1,17.193983,1,17.258495
52,32,32,-1,-1,-1,-1,-1,17.178623,1,17.24416
53,32,32,-1,-1,-1,-1,-1,17.191936,1,17.258495
54,32,32,-1,-1,-1,-1,-1,17.178623,1,17.246208
55,32,32,-1,-1,-1,-1,-1,17.189888,1,17.257471
56,32,32,-1,-1,-1,-1,-1,17.184769,1,17.243135
57,32,32,-1,-1,-1,-1,-1,17.191936,1,17.234943
58,32,32,-1,-1,-1,-1,-1,17.196032,1,17.241089
59,32,32,-1,-1,-1,-1,-1,17.18784,1,17.230848
